date;Wind power;Paris Olympic Games 2024;Franco Zeffirelli;Damien Chazelle;air travel;isPartial
2022-01-02;25;0;0;0;87;False
2022-01-09;28;0;0;2;100;False
2022-01-16;28;0;1;2;74;False
2022-01-23;25;0;2;2;82;False
2022-01-30;37;0;0;0;93;False
2022-02-06;34;0;2;2;93;False
2022-02-13;47;0;1;1;94;False
2022-02-20;34;0;1;0;95;False
2022-02-27;35;0;0;0;83;False
2022-03-06;40;0;1;1;88;False
2022-03-13;35;0;0;2;87;False
2022-03-20;38;2;1;0;85;False
2022-03-27;36;0;1;3;90;False
2022-04-03;49;1;0;2;82;False
2022-04-10;21;0;0;2;71;False
2022-04-17;24;0;0;2;79;False
2022-04-24;29;0;0;2;82;False
2022-05-01;27;0;0;0;84;False
2022-05-08;29;2;0;1;87;False
2022-05-15;28;0;1;0;90;False
2022-05-22;26;0;2;0;85;False
2022-05-29;22;0;0;3;87;False
2022-06-05;22;4;0;6;97;False
2022-06-12;27;0;0;1;85;False
2022-06-19;22;2;0;0;79;False
2022-06-26;24;2;1;2;85;False
2022-07-03;20;0;2;4;89;False
2022-07-10;24;0;0;3;92;False
2022-07-17;19;0;1;1;88;False
2022-07-24;22;1;2;1;87;False
2022-07-31;21;1;0;3;78;False
2022-08-07;27;1;1;2;76;False
2022-08-14;17;0;0;0;75;False
2022-08-21;26;0;0;1;65;False
2022-08-28;33;1;1;0;72;False
2022-09-04;37;1;3;5;77;False
2022-09-11;23;0;1;7;67;False
2022-09-18;25;0;0;0;66;False
2022-09-25;31;0;0;3;66;False
2022-10-02;31;0;1;3;63;False
2022-10-09;28;0;0;0;62;False
2022-10-16;36;0;1;1;55;False
2022-10-23;28;0;1;1;52;False
2022-10-30;31;1;0;2;51;False
2022-11-06;36;1;1;4;58;False
2022-11-13;30;2;0;8;48;False
2022-11-20;24;0;1;2;60;False
2022-11-27;34;1;0;3;59;False
2022-12-04;29;0;0;2;50;False
2022-12-11;28;1;0;5;52;False
2022-12-18;20;0;2;7;48;False
2022-12-25;17;2;1;7;64;False
2023-01-01;21;2;11;5;74;False
2023-01-08;33;0;2;5;69;False
2023-01-15;26;0;2;13;67;False
2023-01-22;23;1;0;15;62;False
2023-01-29;26;1;0;9;67;False
