date;Lana Del Rey;Volkswagen (VW);Raye;Telegraph Media Group;air travel;isPartial
2022-01-02;35;23;11;0;46;False
2022-01-09;42;27;9;1;53;False
2022-01-16;47;26;12;0;39;False
2022-01-23;44;25;11;0;43;False
2022-01-30;44;27;14;1;49;False
2022-02-06;37;25;13;0;49;False
2022-02-13;36;22;15;0;49;False
2022-02-20;34;24;12;1;50;False
2022-02-27;34;20;12;0;44;False
2022-03-06;37;23;9;1;46;False
2022-03-13;35;21;14;0;46;False
2022-03-20;36;20;11;1;45;False
2022-03-27;32;23;11;0;47;False
2022-04-03;41;22;11;1;43;False
2022-04-10;41;22;9;0;37;False
2022-04-17;39;21;10;0;42;False
2022-04-24;34;21;11;1;43;False
2022-05-01;43;22;10;1;44;False
2022-05-08;39;22;14;1;46;False
2022-05-15;45;22;14;0;47;False
2022-05-22;38;20;11;0;45;False
2022-05-29;42;21;13;0;46;False
2022-06-05;40;22;13;0;51;False
2022-06-12;42;20;10;1;44;False
2022-06-19;51;22;10;0;41;False
2022-06-26;43;23;11;0;44;False
2022-07-03;53;22;11;0;47;False
2022-07-10;54;21;9;0;49;False
2022-07-17;46;25;10;0;46;False
2022-07-24;53;24;8;1;46;False
2022-07-31;41;23;10;1;41;False
2022-08-07;47;24;8;0;40;False
2022-08-14;49;23;8;0;39;False
2022-08-21;51;21;12;0;34;False
2022-08-28;51;25;13;0;38;False
2022-09-04;100;22;14;0;41;False
2022-09-11;53;22;11;0;35;False
2022-09-18;50;19;13;1;35;False
2022-09-25;44;19;12;1;35;False
2022-10-02;48;19;9;1;33;False
2022-10-09;46;24;24;1;33;False
2022-10-16;58;21;17;1;29;False
2022-10-23;48;23;14;0;27;False
2022-10-30;42;19;13;0;27;False
2022-11-06;47;22;11;0;30;False
2022-11-13;51;18;15;0;25;False
2022-11-20;46;18;18;1;32;False
2022-11-27;55;17;36;0;31;False
2022-12-04;96;15;34;0;26;False
2022-12-11;62;17;34;2;27;False
2022-12-18;67;17;36;1;25;False
2022-12-25;69;17;31;0;33;False
2023-01-01;59;21;56;2;39;False
2023-01-08;67;24;93;1;36;False
2023-01-15;74;25;70;0;35;False
2023-01-22;63;23;60;0;32;False
2023-01-29;60;24;98;1;35;False
