date;Mazher Mahmood;Pilates;Premiership;Sol Campbell;air travel;isPartial
2022-01-02;0;39;48;1;10;False
2022-01-09;0;37;40;1;11;False
2022-01-16;0;36;49;1;9;False
2022-01-23;0;35;50;1;9;False
2022-01-30;0;36;41;1;11;False
2022-02-06;0;32;56;1;11;False
2022-02-13;0;28;54;1;11;False
2022-02-20;0;28;72;1;11;False
2022-02-27;0;29;56;1;10;False
2022-03-06;0;29;58;1;10;False
2022-03-13;0;29;67;1;10;False
2022-03-20;0;26;33;1;10;False
2022-03-27;0;25;40;1;10;False
2022-04-03;0;28;66;1;10;False
2022-04-10;0;25;47;0;8;False
2022-04-17;0;25;74;1;9;False
2022-04-24;0;27;85;1;9;False
2022-05-01;0;32;84;1;10;False
2022-05-08;0;30;85;1;10;False
2022-05-15;0;32;100;2;10;False
2022-05-22;0;31;54;1;10;False
2022-05-29;0;30;28;1;10;False
2022-06-05;0;40;29;1;11;False
2022-06-12;0;40;39;1;10;False
2022-06-19;0;34;13;1;9;False
2022-06-26;0;32;9;1;10;False
2022-07-03;0;31;16;2;10;False
2022-07-10;0;30;10;1;11;False
2022-07-17;0;29;12;1;10;False
2022-07-24;0;32;18;1;10;False
2022-07-31;0;35;38;0;9;False
2022-08-07;0;33;45;1;9;False
2022-08-14;0;30;47;1;9;False
2022-08-21;0;32;73;1;8;False
2022-08-28;0;33;96;1;8;False
2022-09-04;0;33;47;1;9;False
2022-09-11;0;33;41;0;8;False
2022-09-18;0;30;38;1;7;False
2022-09-25;0;33;41;1;8;False
2022-10-02;0;32;54;1;7;False
2022-10-09;0;33;58;1;7;False
2022-10-16;0;32;92;1;6;False
2022-10-23;0;32;60;0;6;False
2022-10-30;0;33;47;0;6;False
2022-11-06;0;33;72;0;7;False
2022-11-13;0;34;27;1;6;False
2022-11-20;0;28;14;1;7;False
2022-11-27;0;29;14;1;7;False
2022-12-04;0;27;13;1;6;False
2022-12-11;0;24;16;1;6;False
2022-12-18;0;24;27;1;6;False
2022-12-25;0;34;88;1;7;False
2023-01-01;0;58;66;4;9;False
2023-01-08;0;54;40;1;8;False
2023-01-15;0;54;50;1;8;False
2023-01-22;0;48;42;3;7;False
2023-01-29;0;53;47;3;8;False
