date;Human trafficking;Kate Bush;Morocco holidays;Homelessness;air travel;isPartial
2023-01-01;43;70;40;12;45;False
2023-01-02;30;34;42;8;54;False
2023-01-03;35;35;37;25;35;False
2023-01-04;22;68;43;28;53;False
2023-01-05;28;29;42;14;43;False
2023-01-06;20;39;35;33;44;False
2023-01-07;25;52;48;5;32;False
2023-01-08;10;44;51;20;50;False
2023-01-09;11;25;37;43;30;False
2023-01-10;22;34;50;32;47;False
2023-01-11;19;30;43;33;53;False
2023-01-12;18;59;31;20;44;False
2023-01-13;23;100;23;25;36;False
2023-01-14;15;44;53;11;33;False
2023-01-15;6;40;59;22;39;False
2023-01-16;24;38;36;39;41;False
2023-01-17;20;28;33;19;33;False
2023-01-18;28;49;41;25;48;False
2023-01-19;8;50;37;34;43;False
2023-01-20;28;66;26;16;35;False
2023-01-21;58;63;29;16;37;False
2023-01-22;36;57;42;14;42;False
2023-01-23;25;30;44;21;43;False
2023-01-24;22;19;37;33;33;False
2023-01-25;14;45;33;23;45;False
2023-01-26;25;37;31;20;40;False
2023-01-27;27;17;28;19;28;False
2023-01-28;11;52;20;11;39;False
2023-01-29;23;36;38;10;36;False
2023-01-30;6;40;28;25;59;False
2023-01-31;8;26;29;37;50;False
