date;Academic experts;senegal;Unison;Johan Cruyff;air travel;isPartial
2023-01-01;0;38;14;6;35;False
2023-01-02;0;43;22;4;41;False
2023-01-03;0;64;35;5;27;False
2023-01-04;0;43;44;15;40;False
2023-01-05;0;45;47;7;33;False
2023-01-06;0;29;38;6;33;False
2023-01-07;0;23;20;6;24;False
2023-01-08;0;46;19;7;38;False
2023-01-09;0;32;60;10;23;False
2023-01-10;0;32;55;7;36;False
2023-01-11;0;37;62;4;41;False
2023-01-12;0;35;60;5;34;False
2023-01-13;0;28;43;6;27;False
2023-01-14;0;63;14;9;25;False
2023-01-15;0;35;17;7;30;False
2023-01-16;0;34;79;4;31;False
2023-01-17;0;28;69;0;25;False
2023-01-18;0;72;69;6;36;False
2023-01-19;0;39;66;4;33;False
2023-01-20;0;22;56;0;27;False
2023-01-21;0;41;20;0;29;False
2023-01-22;0;65;32;7;32;False
2023-01-23;0;33;94;3;33;False
2023-01-24;0;22;77;8;25;False
2023-01-25;0;36;100;0;34;False
2023-01-26;0;41;64;0;31;False
2023-01-27;0;43;44;0;21;False
2023-01-28;0;29;29;6;30;False
2023-01-29;0;53;23;5;27;False
2023-01-30;0;33;69;0;45;False
2023-01-31;0;60;85;4;38;False
