date;Serbia;Women's shoes;World news;Surrey;air travel;isPartial
2022-01-02;7;13;21;67;5;False
2022-01-09;8;13;20;61;5;False
2022-01-16;6;11;20;60;4;False
2022-01-23;4;12;22;64;4;False
2022-01-30;4;13;21;67;5;False
2022-02-06;4;12;20;66;5;False
2022-02-13;5;11;22;67;5;False
2022-02-20;9;12;57;65;5;False
2022-02-27;13;12;57;65;4;False
2022-03-06;10;12;38;62;5;False
2022-03-13;8;13;33;64;5;False
2022-03-20;7;15;30;63;5;False
2022-03-27;6;13;30;58;5;False
2022-04-03;6;11;22;60;4;False
2022-04-10;6;13;25;60;4;False
2022-04-17;9;14;21;61;4;False
2022-04-24;5;13;22;60;4;False
2022-05-01;5;15;23;68;4;False
2022-05-08;14;13;20;60;5;False
2022-05-15;11;13;21;64;5;False
2022-05-22;5;12;20;61;5;False
2022-05-29;7;12;21;62;5;False
2022-06-05;7;12;21;63;5;False
2022-06-12;5;11;20;64;4;False
2022-06-19;5;12;19;61;4;False
2022-06-26;5;12;20;62;4;False
2022-07-03;6;11;21;64;5;False
2022-07-10;7;12;21;66;5;False
2022-07-17;5;10;22;67;5;False
2022-07-24;4;12;21;70;5;False
2022-07-31;11;12;22;69;4;False
2022-08-07;5;11;21;70;4;False
2022-08-14;4;11;19;63;4;False
2022-08-21;5;13;19;65;3;False
2022-08-28;4;14;20;64;4;False
2022-09-04;4;13;27;65;4;False
2022-09-11;5;13;23;65;4;False
2022-09-18;6;12;24;63;3;False
2022-09-25;7;13;24;62;4;False
2022-10-02;4;12;25;63;3;False
2022-10-09;6;11;25;60;3;False
2022-10-16;4;10;27;58;3;False
2022-10-23;4;10;26;61;3;False
2022-10-30;5;10;28;60;3;False
2022-11-06;6;11;34;59;3;False
2022-11-13;10;11;43;58;3;False
2022-11-20;100;12;70;49;3;False
2022-11-27;75;12;69;54;3;False
2022-12-04;11;10;57;51;3;False
2022-12-11;6;9;34;53;3;False
2022-12-18;5;8;30;48;3;False
2022-12-25;9;12;21;41;3;False
2023-01-01;5;11;21;57;4;False
2023-01-08;5;10;19;64;4;False
2023-01-15;5;10;19;66;4;False
2023-01-22;6;10;20;61;3;False
2023-01-29;5;11;20;60;4;False
