date;nevada;Alexandria Ocasio-Cortez;Arctic;Unicorn theatre;air travel;isPartial
2022-01-02;31;2;0;0;30;False
2022-01-09;32;1;0;0;35;False
2022-01-16;30;2;0;2;26;False
2022-01-23;30;1;0;0;28;False
2022-01-30;29;0;0;1;33;False
2022-02-06;29;1;0;3;32;False
2022-02-13;29;2;0;1;33;False
2022-02-20;25;2;0;1;33;False
2022-02-27;24;1;0;1;29;False
2022-03-06;25;1;0;3;30;False
2022-03-13;24;0;0;2;30;False
2022-03-20;27;0;0;1;29;False
2022-03-27;26;1;0;1;31;False
2022-04-03;24;0;0;2;29;False
2022-04-10;24;1;0;2;25;False
2022-04-17;25;1;0;1;27;False
2022-04-24;20;1;0;1;28;False
2022-05-01;24;2;0;1;29;False
2022-05-08;21;0;0;1;30;False
2022-05-15;24;1;0;1;31;False
2022-05-22;22;0;0;2;30;False
2022-05-29;25;0;0;1;30;False
2022-06-05;23;1;0;1;34;False
2022-06-12;26;1;0;1;30;False
2022-06-19;22;2;0;1;27;False
2022-06-26;22;2;0;0;29;False
2022-07-03;25;1;0;1;31;False
2022-07-10;26;1;0;1;32;False
2022-07-17;28;2;0;1;30;False
2022-07-24;25;1;0;1;30;False
2022-07-31;25;2;0;0;27;False
2022-08-07;25;0;0;1;26;False
2022-08-14;23;1;0;1;26;False
2022-08-21;22;1;0;1;23;False
2022-08-28;23;1;0;1;25;False
2022-09-04;25;0;0;1;27;False
2022-09-11;23;1;0;1;23;False
2022-09-18;23;1;0;1;23;False
2022-09-25;22;1;0;1;23;False
2022-10-02;24;1;0;1;22;False
2022-10-09;21;0;0;1;21;False
2022-10-16;21;1;0;2;19;False
2022-10-23;21;0;0;2;18;False
2022-10-30;21;2;0;2;18;False
2022-11-06;100;3;0;1;20;False
2022-11-13;35;1;0;2;17;False
2022-11-20;24;1;0;2;21;False
2022-11-27;23;0;0;2;20;False
2022-12-04;20;1;0;2;17;False
2022-12-11;26;0;0;2;18;False
2022-12-18;24;1;0;2;17;False
2022-12-25;25;0;0;2;22;False
2023-01-01;38;1;0;1;26;False
2023-01-08;27;1;0;1;24;False
2023-01-15;28;1;0;2;23;False
2023-01-22;28;1;0;1;21;False
2023-01-29;28;1;0;2;23;False
