date;Religious studies and theology;Chelsea Women;Race in education;Brooklyn Nets;air travel;isPartial
2023-01-01;0;21;0;10;26;False
2023-01-02;0;15;2;3;31;False
2023-01-03;0;20;0;19;20;False
2023-01-04;0;11;0;8;30;False
2023-01-05;0;13;0;13;25;False
2023-01-06;0;15;0;7;25;False
2023-01-07;0;12;0;9;18;False
2023-01-08;0;16;0;6;29;False
2023-01-09;0;9;0;15;17;False
2023-01-10;0;12;0;4;27;False
2023-01-11;0;7;2;7;30;False
2023-01-12;0;13;0;5;25;False
2023-01-13;0;11;4;11;20;False
2023-01-14;0;19;0;7;19;False
2023-01-15;0;100;2;8;22;False
2023-01-16;0;19;0;6;23;False
2023-01-17;0;17;0;7;19;False
2023-01-18;0;13;0;6;27;False
2023-01-19;0;17;0;4;25;False
2023-01-20;0;15;0;9;20;False
2023-01-21;0;25;0;6;21;False
2023-01-22;0;70;0;4;24;False
2023-01-23;0;19;0;7;24;False
2023-01-24;0;10;0;0;19;False
2023-01-25;0;37;0;14;26;False
2023-01-26;0;19;0;10;23;False
2023-01-27;0;18;0;10;16;False
2023-01-28;0;15;0;11;22;False
2023-01-29;0;45;0;11;20;False
2023-01-30;0;13;4;6;34;False
2023-01-31;0;11;3;10;28;False
