date;Prince William;lottery;naomi osaka;Job hunting;air travel;isPartial
2022-01-02;6;0;1;0;4;False
2022-01-09;7;0;1;0;4;False
2022-01-16;5;0;3;0;3;False
2022-01-23;5;0;1;0;3;False
2022-01-30;4;0;0;0;4;False
2022-02-06;6;0;0;0;4;False
2022-02-13;3;0;0;0;4;False
2022-02-20;5;0;0;0;4;False
2022-02-27;3;0;1;0;3;False
2022-03-06;4;0;1;0;4;False
2022-03-13;4;0;2;0;4;False
2022-03-20;7;0;1;0;4;False
2022-03-27;6;0;2;0;4;False
2022-04-03;3;0;0;0;3;False
2022-04-10;4;0;0;0;3;False
2022-04-17;5;0;0;0;3;False
2022-04-24;4;0;0;0;3;False
2022-05-01;4;0;0;0;4;False
2022-05-08;10;0;1;0;4;False
2022-05-15;13;0;0;0;4;False
2022-05-22;6;0;1;0;4;False
2022-05-29;28;0;0;0;4;False
2022-06-05;23;0;0;0;4;False
2022-06-12;8;0;0;0;4;False
2022-06-19;12;0;1;0;3;False
2022-06-26;8;0;1;0;4;False
2022-07-03;5;0;1;0;4;False
2022-07-10;5;0;0;0;4;False
2022-07-17;3;0;0;0;4;False
2022-07-24;46;0;0;0;4;False
2022-07-31;38;0;1;0;3;False
2022-08-07;6;0;1;0;3;False
2022-08-14;5;0;0;0;3;False
2022-08-21;5;0;0;0;3;False
2022-08-28;5;0;1;0;3;False
2022-09-04;100;0;0;0;3;False
2022-09-11;72;0;0;0;3;False
2022-09-18;61;0;1;0;3;False
2022-09-25;10;0;0;0;3;False
2022-10-02;7;0;0;0;3;False
2022-10-09;5;0;0;0;3;False
2022-10-16;3;0;0;0;2;False
2022-10-23;4;0;0;0;2;False
2022-10-30;5;0;0;0;2;False
2022-11-06;6;0;0;0;2;False
2022-11-13;7;0;0;0;2;False
2022-11-20;5;0;0;0;3;False
2022-11-27;9;0;0;0;2;False
2022-12-04;10;0;0;0;2;False
2022-12-11;13;0;0;0;2;False
2022-12-18;10;0;0;0;2;False
2022-12-25;7;0;0;0;3;False
2023-01-01;15;0;0;0;3;False
2023-01-08;16;0;6;0;3;False
2023-01-15;6;0;1;0;3;False
2023-01-22;5;0;0;0;3;False
2023-01-29;4;0;0;0;3;False
