date;Hunter Biden;Spa breaks;Israel;Adele;air travel;isPartial
2023-01-01;1;13;33;31;7;False
2023-01-02;1;21;34;18;8;False
2023-01-03;5;16;35;20;5;False
2023-01-04;1;15;38;19;8;False
2023-01-05;1;12;31;19;6;False
2023-01-06;1;11;26;22;6;False
2023-01-07;0;15;28;23;5;False
2023-01-08;0;14;36;23;7;False
2023-01-09;1;15;35;22;4;False
2023-01-10;0;15;31;24;7;False
2023-01-11;0;10;35;19;8;False
2023-01-12;0;12;36;24;7;False
2023-01-13;0;10;29;28;5;False
2023-01-14;0;13;30;27;5;False
2023-01-15;1;15;33;22;6;False
2023-01-16;1;14;36;18;6;False
2023-01-17;2;12;33;14;5;False
2023-01-18;1;15;33;18;7;False
2023-01-19;1;10;29;18;6;False
2023-01-20;0;11;32;22;5;False
2023-01-21;0;13;28;100;6;False
2023-01-22;0;15;33;39;6;False
2023-01-23;0;16;40;29;6;False
2023-01-24;1;13;31;25;5;False
2023-01-25;0;16;27;21;7;False
2023-01-26;1;12;39;22;6;False
2023-01-27;0;10;44;23;4;False
2023-01-28;1;14;50;24;6;False
2023-01-29;1;15;58;26;5;False
2023-01-30;0;14;45;20;9;False
2023-01-31;4;10;40;18;7;False
