date;TSB;Land rights;Antarctica;University of Essex;air travel;isPartial
2022-01-02;71;0;10;2;7;False
2022-01-09;79;0;10;3;8;False
2022-01-16;70;1;9;3;6;False
2022-01-23;73;1;9;4;7;False
2022-01-30;83;0;10;3;8;False
2022-02-06;66;0;9;2;8;False
2022-02-13;59;0;7;3;8;False
2022-02-20;67;0;6;3;8;False
2022-02-27;74;0;7;3;7;False
2022-03-06;67;1;10;3;7;False
2022-03-13;81;0;7;3;7;False
2022-03-20;73;1;9;3;7;False
2022-03-27;67;0;7;3;7;False
2022-04-03;70;1;7;2;7;False
2022-04-10;70;0;6;2;6;False
2022-04-17;69;0;6;2;7;False
2022-04-24;71;0;6;3;7;False
2022-05-01;70;1;6;2;7;False
2022-05-08;67;1;6;2;7;False
2022-05-15;73;1;8;3;7;False
2022-05-22;73;0;5;2;7;False
2022-05-29;71;0;5;2;7;False
2022-06-05;78;1;5;3;8;False
2022-06-12;72;0;6;2;7;False
2022-06-19;64;0;6;2;6;False
2022-06-26;74;0;5;2;7;False
2022-07-03;75;1;6;3;7;False
2022-07-10;69;1;6;2;8;False
2022-07-17;69;1;7;2;7;False
2022-07-24;100;0;6;2;7;False
2022-07-31;73;0;4;2;6;False
2022-08-07;70;1;5;2;6;False
2022-08-14;67;1;5;2;6;False
2022-08-21;78;0;7;3;5;False
2022-08-28;72;0;6;2;6;False
2022-09-04;68;1;7;3;6;False
2022-09-11;68;0;8;3;6;False
2022-09-18;64;0;6;3;5;False
2022-09-25;83;0;7;4;5;False
2022-10-02;75;1;10;5;5;False
2022-10-09;67;1;6;5;5;False
2022-10-16;68;1;7;4;5;False
2022-10-23;59;1;5;3;4;False
2022-10-30;68;1;7;3;4;False
2022-11-06;76;1;8;3;5;False
2022-11-13;71;0;8;3;4;False
2022-11-20;60;0;7;3;5;False
2022-11-27;72;0;10;3;5;False
2022-12-04;62;0;11;2;4;False
2022-12-11;61;0;12;3;4;False
2022-12-18;66;0;9;2;4;False
2022-12-25;51;0;10;1;5;False
2023-01-01;65;1;11;2;6;False
2023-01-08;68;1;10;3;6;False
2023-01-15;61;0;11;4;6;False
2023-01-22;72;0;11;3;5;False
2023-01-29;72;0;9;3;5;False
