date;Margate holidays;Jim Chalmers (Australian politician);Veterinary medicine;caroline flack;air travel;isPartial
2022-01-02;1;0;4;17;42;False
2022-01-09;0;0;4;18;49;False
2022-01-16;0;0;4;15;36;False
2022-01-23;0;0;6;19;40;False
2022-01-30;0;0;4;31;45;False
2022-02-06;1;0;4;50;45;False
2022-02-13;1;0;4;100;46;False
2022-02-20;1;0;4;17;46;False
2022-02-27;1;0;5;10;41;False
2022-03-06;0;0;4;9;43;False
2022-03-13;1;0;5;11;42;False
2022-03-20;1;0;4;7;41;False
2022-03-27;1;0;3;9;44;False
2022-04-03;2;0;4;9;41;False
2022-04-10;1;0;5;8;35;False
2022-04-17;1;0;3;9;38;False
2022-04-24;0;0;3;14;40;False
2022-05-01;0;0;3;8;41;False
2022-05-08;1;0;4;8;42;False
2022-05-15;1;0;4;9;44;False
2022-05-22;1;0;4;13;42;False
2022-05-29;2;0;4;18;42;False
2022-06-05;1;0;6;35;47;False
2022-06-12;1;0;5;39;42;False
2022-06-19;0;0;4;20;38;False
2022-06-26;0;0;3;14;41;False
2022-07-03;1;0;2;32;43;False
2022-07-10;1;0;4;28;45;False
2022-07-17;0;0;3;20;43;False
2022-07-24;2;0;4;29;42;False
2022-07-31;2;0;3;16;38;False
2022-08-07;0;0;3;21;37;False
2022-08-14;1;0;5;14;36;False
2022-08-21;2;0;7;18;32;False
2022-08-28;0;0;3;34;35;False
2022-09-04;0;0;6;30;38;False
2022-09-11;0;0;7;16;33;False
2022-09-18;0;0;4;20;32;False
2022-09-25;0;0;6;12;32;False
2022-10-02;0;0;6;9;31;False
2022-10-09;0;0;8;10;30;False
2022-10-16;0;0;6;10;27;False
2022-10-23;0;0;2;11;25;False
2022-10-30;0;0;6;14;25;False
2022-11-06;0;0;5;23;28;False
2022-11-13;1;0;4;16;24;False
2022-11-20;1;0;5;7;29;False
2022-11-27;0;0;4;11;29;False
2022-12-04;0;0;5;12;24;False
2022-12-11;0;0;4;10;25;False
2022-12-18;0;0;2;24;24;False
2022-12-25;0;0;1;9;31;False
2023-01-01;1;0;5;27;36;False
2023-01-08;1;0;4;77;33;False
2023-01-15;0;0;6;23;33;False
2023-01-22;1;0;5;14;30;False
2023-01-29;1;0;4;13;32;False
