date;Coffee;Clermont Auvergne;Insulate Britain;Winter;air travel;isPartial
2022-01-02;52;0;0;39;1;False
2022-01-09;50;0;0;33;1;False
2022-01-16;44;0;0;32;1;False
2022-01-23;53;0;0;31;1;False
2022-01-30;48;0;0;78;1;False
2022-02-06;48;0;0;53;1;False
2022-02-13;47;0;0;46;1;False
2022-02-20;47;0;0;30;1;False
2022-02-27;46;0;0;19;1;False
2022-03-06;49;0;0;18;1;False
2022-03-13;46;0;0;14;1;False
2022-03-20;45;0;0;13;1;False
2022-03-27;43;0;0;12;1;False
2022-04-03;43;0;0;11;1;False
2022-04-10;43;0;0;10;1;False
2022-04-17;46;0;0;9;1;False
2022-04-24;44;0;0;9;1;False
2022-05-01;50;0;0;9;1;False
2022-05-08;45;0;0;10;1;False
2022-05-15;45;0;0;10;1;False
2022-05-22;44;0;0;13;1;False
2022-05-29;46;0;0;12;1;False
2022-06-05;44;0;0;11;1;False
2022-06-12;45;0;0;11;1;False
2022-06-19;43;0;0;11;1;False
2022-06-26;44;0;0;12;1;False
2022-07-03;43;0;0;13;1;False
2022-07-10;48;0;0;13;1;False
2022-07-17;42;0;0;13;1;False
2022-07-24;47;0;0;16;1;False
2022-07-31;50;0;0;16;1;False
2022-08-07;49;0;0;20;1;False
2022-08-14;43;0;0;20;1;False
2022-08-21;48;0;0;25;1;False
2022-08-28;49;0;0;31;1;False
2022-09-04;47;0;0;32;1;False
2022-09-11;49;0;0;38;1;False
2022-09-18;50;0;0;42;1;False
2022-09-25;50;0;0;54;1;False
2022-10-02;52;0;0;46;1;False
2022-10-09;49;0;0;47;1;False
2022-10-16;49;0;0;45;1;False
2022-10-23;48;0;0;46;1;False
2022-10-30;53;0;0;57;1;False
2022-11-06;53;0;0;56;1;False
2022-11-13;54;0;0;63;1;False
2022-11-20;55;0;0;72;1;False
2022-11-27;58;0;0;81;1;False
2022-12-04;51;0;0;94;1;False
2022-12-11;52;0;0;100;1;False
2022-12-18;51;0;0;82;1;False
2022-12-25;57;0;0;55;1;False
2023-01-01;51;0;0;40;1;False
2023-01-08;50;0;0;29;1;False
2023-01-15;53;0;0;36;1;False
2023-01-22;53;0;0;29;1;False
2023-01-29;53;0;0;21;1;False
