date;Neighbours;Boy George;PMQs;Sydney;air travel;isPartial
2022-01-02;7;1;2;16;2;False
2022-01-09;8;1;5;21;2;False
2022-01-16;8;1;3;12;2;False
2022-01-23;7;1;2;11;2;False
2022-01-30;8;1;2;26;2;False
2022-02-06;20;2;1;14;2;False
2022-02-13;7;1;1;19;2;False
2022-02-20;7;1;1;13;2;False
2022-02-27;15;1;0;14;2;False
2022-03-06;8;1;0;13;2;False
2022-03-13;7;1;0;13;2;False
2022-03-20;7;1;0;10;2;False
2022-03-27;8;2;0;12;2;False
2022-04-03;7;2;0;12;2;False
2022-04-10;7;1;0;13;1;False
2022-04-17;6;1;1;10;2;False
2022-04-24;6;1;1;9;2;False
2022-05-01;13;2;0;12;2;False
2022-05-08;9;1;1;10;2;False
2022-05-15;8;1;1;10;2;False
2022-05-22;7;1;1;9;2;False
2022-05-29;8;1;0;9;2;False
2022-06-05;19;1;1;11;2;False
2022-06-12;13;2;1;10;2;False
2022-06-19;8;1;1;9;2;False
2022-06-26;9;1;1;9;2;False
2022-07-03;9;1;3;15;2;False
2022-07-10;19;1;1;12;2;False
2022-07-17;18;1;1;12;2;False
2022-07-24;100;1;0;13;2;False
2022-07-31;28;1;0;10;2;False
2022-08-07;10;1;0;11;2;False
2022-08-14;7;1;0;10;2;False
2022-08-21;6;1;0;11;1;False
2022-08-28;6;1;0;15;1;False
2022-09-04;5;1;2;12;2;False
2022-09-11;5;1;0;12;1;False
2022-09-18;5;3;0;11;1;False
2022-09-25;4;1;1;11;1;False
2022-10-02;4;2;0;11;1;False
2022-10-09;4;1;1;12;1;False
2022-10-16;4;1;3;13;1;False
2022-10-23;4;2;2;13;1;False
2022-10-30;4;6;1;15;1;False
2022-11-06;4;86;1;20;1;False
2022-11-13;9;51;1;21;1;False
2022-11-20;4;22;0;14;1;False
2022-11-27;5;5;0;12;1;False
2022-12-04;4;2;0;11;1;False
2022-12-11;4;1;1;12;1;False
2022-12-18;4;1;0;16;1;False
2022-12-25;5;2;0;21;1;False
2023-01-01;5;1;0;18;2;False
2023-01-08;5;1;0;14;1;False
2023-01-15;5;1;0;15;1;False
2023-01-22;4;1;1;13;1;False
2023-01-29;5;1;1;14;1;False
