date;Volodymyr Zelenskiy;floods;Mia Wasikowska;house of parliament;air travel;isPartial
2022-01-02;0;10;1;3;20;False
2022-01-09;0;9;0;5;22;False
2022-01-16;0;7;1;4;17;False
2022-01-23;0;8;1;4;19;False
2022-01-30;0;9;0;4;22;False
2022-02-06;0;7;1;5;22;False
2022-02-13;0;14;1;2;22;False
2022-02-20;2;66;1;3;22;False
2022-02-27;1;59;1;3;19;False
2022-03-06;1;29;1;4;20;False
2022-03-13;0;12;1;3;20;False
2022-03-20;0;11;1;4;20;False
2022-03-27;0;12;1;3;21;False
2022-04-03;0;9;1;2;19;False
2022-04-10;0;22;2;3;17;False
2022-04-17;0;11;1;4;19;False
2022-04-24;0;10;0;4;19;False
2022-05-01;0;11;1;5;20;False
2022-05-08;0;9;0;4;20;False
2022-05-15;0;9;1;4;21;False
2022-05-22;0;10;0;3;20;False
2022-05-29;0;7;0;3;20;False
2022-06-05;0;8;1;4;23;False
2022-06-12;0;20;1;3;20;False
2022-06-19;0;18;1;3;18;False
2022-06-26;0;9;1;3;20;False
2022-07-03;0;40;1;5;21;False
2022-07-10;0;10;1;2;22;False
2022-07-17;0;9;0;3;20;False
2022-07-24;0;18;0;3;20;False
2022-07-31;0;15;1;3;18;False
2022-08-07;0;14;1;2;18;False
2022-08-14;0;50;1;1;17;False
2022-08-21;0;25;1;2;15;False
2022-08-28;0;100;2;2;17;False
2022-09-04;0;46;0;6;18;False
2022-09-11;0;30;1;5;16;False
2022-09-18;0;29;0;4;15;False
2022-09-25;0;23;0;2;15;False
2022-10-02;0;18;1;4;15;False
2022-10-09;1;25;0;4;14;False
2022-10-16;0;34;0;6;13;False
2022-10-23;0;18;0;4;12;False
2022-10-30;0;19;0;5;12;False
2022-11-06;0;17;0;4;13;False
2022-11-13;0;32;1;4;11;False
2022-11-20;0;18;0;3;14;False
2022-11-27;0;11;0;3;14;False
2022-12-04;0;10;0;3;12;False
2022-12-11;0;11;1;3;12;False
2022-12-18;0;11;0;2;11;False
2022-12-25;0;15;1;2;15;False
2023-01-01;0;15;0;3;17;False
2023-01-08;0;56;0;3;16;False
2023-01-15;0;31;0;4;16;False
2023-01-22;0;26;0;3;14;False
2023-01-29;0;33;1;5;16;False
