date;Communism;Strictly Come Dancing;Edinburgh holidays;Race;air travel;isPartial
2023-01-01;1;12;6;100;4;False
2023-01-02;2;5;6;88;5;False
2023-01-03;3;6;6;73;3;False
2023-01-04;2;6;6;76;5;False
2023-01-05;3;5;4;73;4;False
2023-01-06;3;6;3;78;4;False
2023-01-07;2;6;3;96;3;False
2023-01-08;2;6;6;98;4;False
2023-01-09;3;4;5;78;3;False
2023-01-10;2;12;6;76;4;False
2023-01-11;3;5;4;73;5;False
2023-01-12;3;6;5;80;4;False
2023-01-13;2;4;3;79;3;False
2023-01-14;3;7;4;94;3;False
2023-01-15;2;11;4;97;3;False
2023-01-16;3;8;3;86;4;False
2023-01-17;2;5;4;76;3;False
2023-01-18;2;6;3;85;4;False
2023-01-19;2;4;2;75;4;False
2023-01-20;2;8;4;82;3;False
2023-01-21;2;9;5;99;3;False
2023-01-22;4;13;5;91;4;False
2023-01-23;3;7;4;77;4;False
2023-01-24;3;5;3;77;3;False
2023-01-25;3;6;3;74;4;False
2023-01-26;3;7;2;73;3;False
2023-01-27;2;7;3;83;2;False
2023-01-28;3;20;3;92;3;False
2023-01-29;2;12;4;93;3;False
2023-01-30;2;9;3;79;5;False
2023-01-31;3;5;2;73;4;False
