date;FTSE;South China Sea;Radio 3;John Lennon;air travel;isPartial
2022-01-02;57;0;3;4;3;False
2022-01-09;64;0;2;4;3;False
2022-01-16;64;0;2;4;2;False
2022-01-23;71;0;3;3;3;False
2022-01-30;69;0;2;4;3;False
2022-02-06;63;0;2;4;3;False
2022-02-13;67;0;2;4;3;False
2022-02-20;86;0;2;4;3;False
2022-02-27;84;0;3;4;3;False
2022-03-06;88;0;2;3;3;False
2022-03-13;73;0;2;6;3;False
2022-03-20;70;0;2;4;3;False
2022-03-27;70;0;2;3;3;False
2022-04-03;63;0;2;5;3;False
2022-04-10;51;0;2;5;2;False
2022-04-17;44;0;2;4;3;False
2022-04-24;59;0;2;4;3;False
2022-05-01;51;0;2;4;3;False
2022-05-08;69;0;2;3;3;False
2022-05-15;71;0;2;3;3;False
2022-05-22;63;0;2;4;3;False
2022-05-29;44;0;2;5;3;False
2022-06-05;58;0;2;4;3;False
2022-06-12;77;0;2;4;3;False
2022-06-19;67;0;2;6;3;False
2022-06-26;67;0;2;8;3;False
2022-07-03;77;0;2;4;3;False
2022-07-10;67;0;3;4;3;False
2022-07-17;68;0;2;4;3;False
2022-07-24;62;0;2;4;3;False
2022-07-31;69;0;2;3;3;False
2022-08-07;70;0;2;3;2;False
2022-08-14;64;0;2;3;2;False
2022-08-21;59;0;2;4;2;False
2022-08-28;50;0;3;4;2;False
2022-09-04;71;0;2;3;2;False
2022-09-11;66;0;2;3;2;False
2022-09-18;57;0;2;4;2;False
2022-09-25;100;0;2;3;2;False
2022-10-02;85;0;2;3;2;False
2022-10-09;89;0;2;4;2;False
2022-10-16;92;0;2;3;2;False
2022-10-23;85;0;2;3;2;False
2022-10-30;85;0;2;3;2;False
2022-11-06;76;0;3;3;2;False
2022-11-13;75;0;2;3;2;False
2022-11-20;69;0;2;3;2;False
2022-11-27;69;0;3;3;2;False
2022-12-04;61;0;2;6;2;False
2022-12-11;58;0;2;4;2;False
2022-12-18;65;0;3;4;2;False
2022-12-25;39;0;2;5;2;False
2023-01-01;57;0;2;4;2;False
2023-01-08;70;0;3;4;2;False
2023-01-15;78;0;3;4;2;False
2023-01-22;68;0;3;3;2;False
2023-01-29;76;0;2;3;2;False
