date;Burgers;Frank Lampard;Zombies;Gordon Ramsay;air travel;isPartial
2023-01-01;20;4;11;14;4;False
2023-01-02;23;2;11;15;5;False
2023-01-03;21;12;9;14;3;False
2023-01-04;22;23;9;15;5;False
2023-01-05;22;9;9;11;4;False
2023-01-06;23;23;8;10;4;False
2023-01-07;29;19;10;16;3;False
2023-01-08;24;11;12;17;4;False
2023-01-09;21;6;6;16;3;False
2023-01-10;20;2;7;17;4;False
2023-01-11;20;6;8;21;5;False
2023-01-12;22;2;8;16;4;False
2023-01-13;27;2;9;16;3;False
2023-01-14;35;13;10;16;3;False
2023-01-15;25;10;10;20;3;False
2023-01-16;21;4;8;13;4;False
2023-01-17;20;4;8;14;3;False
2023-01-18;20;5;9;14;4;False
2023-01-19;23;4;9;12;4;False
2023-01-20;26;2;10;14;3;False
2023-01-21;29;25;11;15;3;False
2023-01-22;24;19;13;15;4;False
2023-01-23;21;100;10;12;4;False
2023-01-24;22;21;12;12;3;False
2023-01-25;23;11;11;13;4;False
2023-01-26;22;6;9;11;4;False
2023-01-27;22;5;10;9;2;False
2023-01-28;30;3;11;15;3;False
2023-01-29;23;2;12;15;3;False
2023-01-30;23;5;10;12;5;False
2023-01-31;22;2;8;9;4;False
