date;Tom Verlaine;Global education;Everything Everywhere All At Once;Cornwall;air travel;isPartial
2022-01-02;0;0;0;58;3;False
2022-01-09;0;0;0;54;3;False
2022-01-16;0;0;0;56;2;False
2022-01-23;0;0;0;57;2;False
2022-01-30;0;0;0;51;3;False
2022-02-06;0;0;0;52;3;False
2022-02-13;0;0;0;63;3;False
2022-02-20;0;0;0;57;3;False
2022-02-27;0;0;0;53;2;False
2022-03-06;0;0;0;56;3;False
2022-03-13;0;0;1;60;3;False
2022-03-20;0;0;1;65;3;False
2022-03-27;0;0;2;61;3;False
2022-04-03;0;0;5;62;2;False
2022-04-10;0;0;6;68;2;False
2022-04-17;0;0;6;65;2;False
2022-04-24;0;0;4;62;2;False
2022-05-01;0;0;7;65;3;False
2022-05-08;0;0;12;61;3;False
2022-05-15;0;0;26;72;3;False
2022-05-22;0;0;22;66;3;False
2022-05-29;0;0;14;79;3;False
2022-06-05;0;0;11;79;3;False
2022-06-12;0;0;8;75;3;False
2022-06-19;0;0;7;78;2;False
2022-06-26;0;0;6;68;3;False
2022-07-03;0;0;5;76;3;False
2022-07-10;0;0;4;84;3;False
2022-07-17;0;0;4;85;3;False
2022-07-24;0;0;4;84;3;False
2022-07-31;0;0;5;92;2;False
2022-08-07;0;0;4;100;2;False
2022-08-14;0;0;3;86;2;False
2022-08-21;0;0;3;84;2;False
2022-08-28;0;0;5;69;2;False
2022-09-04;0;0;6;73;2;False
2022-09-11;0;0;4;58;2;False
2022-09-18;0;0;4;53;2;False
2022-09-25;0;0;4;52;2;False
2022-10-02;0;0;3;46;2;False
2022-10-09;0;0;2;47;2;False
2022-10-16;0;0;2;47;2;False
2022-10-23;0;0;2;46;2;False
2022-10-30;0;0;2;42;2;False
2022-11-06;0;0;1;41;2;False
2022-11-13;0;0;2;40;1;False
2022-11-20;0;0;1;40;2;False
2022-11-27;0;0;1;35;2;False
2022-12-04;0;0;1;35;1;False
2022-12-11;0;0;2;41;2;False
2022-12-18;0;0;3;36;1;False
2022-12-25;0;0;4;46;2;False
2023-01-01;0;0;4;51;2;False
2023-01-08;0;0;7;66;2;False
2023-01-15;0;0;6;53;2;False
2023-01-22;1;0;12;47;2;False
2023-01-29;4;0;7;48;2;False
