date;New Year honours list 2009;La Liga;Schitt's Creek;Ben Whishaw;air travel;isPartial
2022-01-02;0;76;6;3;18;False
2022-01-09;0;57;6;1;19;False
2022-01-16;0;52;5;2;15;False
2022-01-23;0;49;5;7;17;False
2022-01-30;1;39;7;7;19;False
2022-02-06;0;70;7;41;19;False
2022-02-13;0;63;6;27;19;False
2022-02-20;0;72;4;20;19;False
2022-02-27;0;62;3;10;17;False
2022-03-06;0;65;3;7;18;False
2022-03-13;0;80;3;7;18;False
2022-03-20;0;89;3;7;17;False
2022-03-27;0;36;3;5;18;False
2022-04-03;0;81;4;4;17;False
2022-04-10;0;78;3;3;15;False
2022-04-17;0;100;3;3;16;False
2022-04-24;0;73;3;3;17;False
2022-05-01;0;78;3;3;17;False
2022-05-08;0;71;3;2;18;False
2022-05-15;0;70;3;2;18;False
2022-05-22;0;65;3;2;17;False
2022-05-29;0;26;3;2;18;False
2022-06-05;0;18;3;10;20;False
2022-06-12;0;18;3;2;17;False
2022-06-19;0;19;3;2;16;False
2022-06-26;0;15;3;2;17;False
2022-07-03;0;13;3;2;18;False
2022-07-10;0;14;3;1;19;False
2022-07-17;0;17;3;3;18;False
2022-07-24;1;21;3;2;18;False
2022-07-31;0;24;3;2;16;False
2022-08-07;0;52;4;2;15;False
2022-08-14;0;55;4;1;15;False
2022-08-21;0;61;3;2;13;False
2022-08-28;0;85;3;2;15;False
2022-09-04;0;67;3;2;16;False
2022-09-11;0;67;3;4;14;False
2022-09-18;0;50;3;6;13;False
2022-09-25;0;32;3;2;13;False
2022-10-02;0;64;5;1;13;False
2022-10-09;0;61;3;1;12;False
2022-10-16;0;90;3;2;11;False
2022-10-23;0;66;4;1;11;False
2022-10-30;0;61;3;1;10;False
2022-11-06;0;81;3;2;12;False
2022-11-13;0;20;2;2;10;False
2022-11-20;0;12;2;2;12;False
2022-11-27;0;13;2;2;12;False
2022-12-04;0;12;3;1;10;False
2022-12-11;0;13;2;1;10;False
2022-12-18;0;19;2;3;10;False
2022-12-25;0;52;3;3;13;False
2023-01-01;0;52;3;5;15;False
2023-01-08;0;59;4;1;14;False
2023-01-15;0;60;4;2;14;False
2023-01-22;0;64;3;2;13;False
2023-01-29;0;70;3;3;14;False
