date;Dom Phillips and Bruno Pereira;Waste;Homes;Ice;air travel;isPartial
2022-01-02;0;20;48;61;1;False
2022-01-09;0;19;51;58;2;False
2022-01-16;0;18;56;66;1;False
2022-01-23;0;18;52;58;1;False
2022-01-30;0;21;59;66;2;False
2022-02-06;0;19;52;76;2;False
2022-02-13;0;18;47;69;2;False
2022-02-20;0;18;49;61;2;False
2022-02-27;0;18;48;56;1;False
2022-03-06;0;20;50;54;1;False
2022-03-13;0;20;60;56;1;False
2022-03-20;0;22;50;53;1;False
2022-03-27;0;20;47;62;1;False
2022-04-03;0;19;50;46;1;False
2022-04-10;0;21;47;56;1;False
2022-04-17;0;21;48;48;1;False
2022-04-24;0;18;49;48;1;False
2022-05-01;0;20;49;51;1;False
2022-05-08;0;19;47;49;1;False
2022-05-15;0;21;48;49;1;False
2022-05-22;0;18;48;47;1;False
2022-05-29;0;18;41;54;1;False
2022-06-05;0;20;50;53;2;False
2022-06-12;0;20;47;61;1;False
2022-06-19;0;18;47;56;1;False
2022-06-26;0;18;47;49;1;False
2022-07-03;0;20;44;58;1;False
2022-07-10;0;20;48;72;2;False
2022-07-17;0;17;47;90;1;False
2022-07-24;0;19;50;56;1;False
2022-07-31;0;17;49;54;1;False
2022-08-07;0;19;48;74;1;False
2022-08-14;0;17;44;53;1;False
2022-08-21;0;17;50;53;1;False
2022-08-28;0;19;46;49;1;False
2022-09-04;0;18;45;43;1;False
2022-09-11;0;19;47;47;1;False
2022-09-18;0;18;44;45;1;False
2022-09-25;0;16;45;44;1;False
2022-10-02;0;16;43;45;1;False
2022-10-09;0;18;47;45;1;False
2022-10-16;0;17;40;49;1;False
2022-10-23;0;16;38;50;1;False
2022-10-30;0;17;45;48;1;False
2022-11-06;0;17;40;58;1;False
2022-11-13;0;16;40;57;1;False
2022-11-20;0;14;39;57;1;False
2022-11-27;0;15;37;62;1;False
2022-12-04;0;15;37;69;1;False
2022-12-11;0;15;35;100;1;False
2022-12-18;0;14;32;84;1;False
2022-12-25;0;17;33;71;1;False
2023-01-01;0;18;45;60;1;False
2023-01-08;0;17;45;54;1;False
2023-01-15;0;18;47;68;1;False
2023-01-22;0;17;46;64;1;False
2023-01-29;0;19;47;67;1;False
