date;Michael Flatley;arsenal;Pep Guardiola;LPGA;air travel;isPartial
2022-01-02;0;34;1;0;1;False
2022-01-09;0;75;0;0;1;False
2022-01-16;0;52;1;0;1;False
2022-01-23;0;43;0;0;1;False
2022-01-30;0;34;0;0;1;False
2022-02-06;0;28;0;0;1;False
2022-02-13;0;23;1;0;1;False
2022-02-20;0;34;0;0;1;False
2022-02-27;0;20;0;0;1;False
2022-03-06;0;30;0;0;1;False
2022-03-13;1;54;0;0;1;False
2022-03-20;0;20;0;0;1;False
2022-03-27;0;16;0;1;1;False
2022-04-03;0;41;1;0;1;False
2022-04-10;0;24;1;0;1;False
2022-04-17;0;59;1;0;1;False
2022-04-24;0;22;1;0;1;False
2022-05-01;0;36;2;0;1;False
2022-05-08;0;55;1;0;1;False
2022-05-15;0;41;1;0;1;False
2022-05-22;0;31;1;0;1;False
2022-05-29;0;23;0;0;1;False
2022-06-05;0;22;0;0;1;False
2022-06-12;0;32;0;0;1;False
2022-06-19;0;36;0;0;1;False
2022-06-26;0;39;0;0;1;False
2022-07-03;0;47;0;0;1;False
2022-07-10;0;40;0;0;1;False
2022-07-17;0;48;0;0;1;False
2022-07-24;0;61;0;0;1;False
2022-07-31;0;67;0;0;1;False
2022-08-07;0;53;1;0;1;False
2022-08-14;0;48;0;0;1;False
2022-08-21;0;57;1;0;1;False
2022-08-28;1;61;1;0;1;False
2022-09-04;0;65;0;0;1;False
2022-09-11;0;24;0;0;1;False
2022-09-18;0;35;0;0;1;False
2022-09-25;0;42;0;0;1;False
2022-10-02;0;34;1;1;1;False
2022-10-09;0;62;0;0;1;False
2022-10-16;0;62;1;0;1;False
2022-10-23;0;45;1;0;0;False
2022-10-30;0;52;0;0;0;False
2022-11-06;0;64;1;0;1;False
2022-11-13;0;23;0;0;0;False
2022-11-20;0;15;1;0;1;False
2022-11-27;0;15;0;0;1;False
2022-12-04;0;20;0;0;0;False
2022-12-11;0;26;0;0;0;False
2022-12-18;0;23;0;0;0;False
2022-12-25;0;61;1;0;1;False
2023-01-01;0;56;0;0;1;False
2023-01-08;1;59;1;0;1;False
2023-01-15;0;75;1;0;1;False
2023-01-22;0;100;1;0;1;False
2023-01-29;0;55;1;0;1;False
