date;Sustainable development;GoldenEye;Judi Dench;Suella Braverman;air travel;isPartial
2022-01-02;5;11;14;4;11;False
2022-01-09;5;8;4;1;12;False
2022-01-16;5;3;12;1;9;False
2022-01-23;6;3;8;0;10;False
2022-01-30;5;2;5;0;12;False
2022-02-06;4;3;8;0;12;False
2022-02-13;4;3;5;0;12;False
2022-02-20;5;3;5;0;12;False
2022-02-27;5;2;5;0;11;False
2022-03-06;5;3;4;0;11;False
2022-03-13;5;2;14;3;11;False
2022-03-20;6;3;6;1;11;False
2022-03-27;5;2;6;1;11;False
2022-04-03;4;2;5;0;10;False
2022-04-10;4;3;5;0;9;False
2022-04-17;4;5;7;0;10;False
2022-04-24;6;4;4;1;10;False
2022-05-01;5;5;4;1;11;False
2022-05-08;5;4;5;4;11;False
2022-05-15;5;4;11;1;11;False
2022-05-22;4;5;15;2;11;False
2022-05-29;3;3;8;1;11;False
2022-06-05;4;5;6;2;12;False
2022-06-12;4;4;4;2;11;False
2022-06-19;4;3;6;2;10;False
2022-06-26;3;3;4;1;11;False
2022-07-03;3;2;6;64;11;False
2022-07-10;3;3;17;56;12;False
2022-07-17;3;2;7;2;11;False
2022-07-24;3;3;5;3;11;False
2022-07-31;3;18;4;3;10;False
2022-08-07;3;6;4;3;10;False
2022-08-14;2;3;6;1;9;False
2022-08-21;3;4;9;1;8;False
2022-08-28;3;2;6;1;9;False
2022-09-04;3;2;6;57;10;False
2022-09-11;3;14;4;5;9;False
2022-09-18;3;5;4;4;8;False
2022-09-25;5;5;4;4;8;False
2022-10-02;5;5;4;40;8;False
2022-10-09;5;7;7;23;8;False
2022-10-16;5;5;7;100;7;False
2022-10-23;4;4;8;91;7;False
2022-10-30;5;4;83;67;6;False
2022-11-06;6;4;27;14;7;False
2022-11-13;6;4;14;7;6;False
2022-11-20;5;3;12;9;8;False
2022-11-27;6;4;9;6;7;False
2022-12-04;5;3;7;5;6;False
2022-12-11;5;3;8;4;7;False
2022-12-18;3;4;12;5;6;False
2022-12-25;2;6;9;5;8;False
2023-01-01;3;4;16;2;9;False
2023-01-08;6;4;7;4;9;False
2023-01-15;5;4;6;11;8;False
2023-01-22;5;40;7;7;8;False
2023-01-29;5;31;7;4;8;False
