date;KT Tunstall;Sony;snakes;Pembrokeshire holidays;air travel;isPartial
2022-01-02;0;0;11;0;5;False
2022-01-09;1;0;11;0;6;False
2022-01-16;0;0;10;0;4;False
2022-01-23;0;0;12;0;5;False
2022-01-30;0;0;11;0;5;False
2022-02-06;0;58;11;0;5;False
2022-02-13;0;0;12;0;5;False
2022-02-20;0;0;11;0;5;False
2022-02-27;0;55;9;0;5;False
2022-03-06;0;0;11;0;5;False
2022-03-13;0;55;11;0;5;False
2022-03-20;1;0;10;0;5;False
2022-03-27;1;58;10;0;5;False
2022-04-03;0;63;11;0;5;False
2022-04-10;0;54;12;0;4;False
2022-04-17;0;57;11;0;4;False
2022-04-24;0;55;12;0;5;False
2022-05-01;0;63;12;0;5;False
2022-05-08;0;63;12;0;5;False
2022-05-15;0;59;12;0;5;False
2022-05-22;0;54;11;0;5;False
2022-05-29;0;64;13;1;5;False
2022-06-05;0;61;16;0;5;False
2022-06-12;0;57;13;0;5;False
2022-06-19;0;55;13;0;4;False
2022-06-26;0;60;12;0;5;False
2022-07-03;0;61;13;0;5;False
2022-07-10;0;63;13;0;5;False
2022-07-17;1;58;12;0;5;False
2022-07-24;0;61;11;0;5;False
2022-07-31;0;56;12;0;4;False
2022-08-07;0;62;12;0;4;False
2022-08-14;0;53;13;0;4;False
2022-08-21;1;61;15;0;4;False
2022-08-28;2;57;11;0;4;False
2022-09-04;1;56;10;0;4;False
2022-09-11;0;61;10;0;4;False
2022-09-18;0;56;10;0;4;False
2022-09-25;0;65;9;0;4;False
2022-10-02;0;57;10;0;4;False
2022-10-09;0;63;10;0;3;False
2022-10-16;0;57;10;0;3;False
2022-10-23;0;61;10;0;3;False
2022-10-30;0;63;9;0;3;False
2022-11-06;0;74;14;0;3;False
2022-11-13;0;86;11;0;3;False
2022-11-20;1;84;10;0;3;False
2022-11-27;1;70;9;0;3;False
2022-12-04;0;63;8;0;3;False
2022-12-11;0;64;9;0;3;False
2022-12-18;1;64;9;0;3;False
2022-12-25;0;100;11;0;4;False
2023-01-01;0;79;10;0;4;False
2023-01-08;0;74;10;1;4;False
2023-01-15;0;72;10;0;4;False
2023-01-22;0;63;11;0;3;False
2023-01-29;0;66;11;0;4;False
