date;Romania;Virgin Group;Music streaming;Snow;air travel;isPartial
2022-01-02;5;0;0;31;1;False
2022-01-09;5;0;0;22;1;False
2022-01-16;5;0;0;23;1;False
2022-01-23;5;0;0;29;1;False
2022-01-30;5;0;0;24;1;False
2022-02-06;5;0;0;24;1;False
2022-02-13;5;0;0;22;1;False
2022-02-20;9;0;0;19;1;False
2022-02-27;10;0;0;16;1;False
2022-03-06;8;0;0;14;1;False
2022-03-13;6;0;0;13;1;False
2022-03-20;7;0;0;12;1;False
2022-03-27;6;0;0;20;1;False
2022-04-03;5;0;0;13;1;False
2022-04-10;5;0;0;9;1;False
2022-04-17;5;0;0;8;1;False
2022-04-24;5;0;0;8;1;False
2022-05-01;5;0;0;8;1;False
2022-05-08;6;0;0;8;1;False
2022-05-15;5;0;0;7;1;False
2022-05-22;5;0;0;7;1;False
2022-05-29;5;0;0;7;1;False
2022-06-05;6;0;0;7;1;False
2022-06-12;5;0;0;8;1;False
2022-06-19;5;0;0;8;1;False
2022-06-26;5;0;0;7;1;False
2022-07-03;5;0;0;7;1;False
2022-07-10;5;0;0;7;1;False
2022-07-17;5;0;0;7;1;False
2022-07-24;5;0;0;8;1;False
2022-07-31;5;0;0;8;1;False
2022-08-07;5;0;0;8;1;False
2022-08-14;4;0;0;7;1;False
2022-08-21;4;0;0;11;1;False
2022-08-28;4;0;0;11;1;False
2022-09-04;4;0;0;11;1;False
2022-09-11;5;0;0;12;1;False
2022-09-18;5;0;0;13;1;False
2022-09-25;5;0;0;11;1;False
2022-10-02;5;0;0;13;1;False
2022-10-09;4;0;0;14;1;False
2022-10-16;4;0;0;13;1;False
2022-10-23;4;0;0;15;1;False
2022-10-30;5;0;0;15;1;False
2022-11-06;5;0;0;18;1;False
2022-11-13;5;0;0;25;1;False
2022-11-20;5;0;0;26;1;False
2022-11-27;5;0;0;35;1;False
2022-12-04;5;0;0;55;1;False
2022-12-11;5;0;0;100;1;False
2022-12-18;4;0;0;37;1;False
2022-12-25;7;0;0;38;1;False
2023-01-01;5;0;0;37;1;False
2023-01-08;5;0;0;31;1;False
2023-01-15;5;0;0;46;1;False
2023-01-22;5;0;0;26;1;False
2023-01-29;5;0;0;23;1;False
