date;Pablo Picasso;Circus;Emissions trading;neighbours;air travel;isPartial
2022-01-02;0;9;0;7;2;False
2022-01-09;1;9;0;8;2;False
2022-01-16;0;8;0;8;2;False
2022-01-23;0;9;0;7;2;False
2022-01-30;0;10;0;8;2;False
2022-02-06;0;9;0;20;2;False
2022-02-13;0;9;0;7;2;False
2022-02-20;0;11;0;7;2;False
2022-02-27;0;10;0;15;2;False
2022-03-06;0;10;0;8;2;False
2022-03-13;0;10;0;7;2;False
2022-03-20;0;10;0;7;2;False
2022-03-27;0;10;0;8;2;False
2022-04-03;0;12;0;7;2;False
2022-04-10;0;14;0;7;1;False
2022-04-17;0;13;0;6;2;False
2022-04-24;0;12;0;6;2;False
2022-05-01;0;14;0;13;2;False
2022-05-08;0;12;0;9;2;False
2022-05-15;0;11;0;8;2;False
2022-05-22;0;11;0;7;2;False
2022-05-29;0;15;0;8;2;False
2022-06-05;0;13;0;19;2;False
2022-06-12;0;11;0;13;2;False
2022-06-19;0;12;0;8;2;False
2022-06-26;0;13;0;9;2;False
2022-07-03;0;12;0;9;2;False
2022-07-10;0;11;0;19;2;False
2022-07-17;0;12;0;18;2;False
2022-07-24;0;15;0;100;2;False
2022-07-31;0;13;0;28;2;False
2022-08-07;0;12;0;10;2;False
2022-08-14;0;12;0;7;2;False
2022-08-21;0;15;0;6;1;False
2022-08-28;0;14;0;6;1;False
2022-09-04;0;11;0;5;2;False
2022-09-11;0;11;0;5;1;False
2022-09-18;0;11;0;5;1;False
2022-09-25;0;11;0;4;1;False
2022-10-02;0;13;0;4;1;False
2022-10-09;0;12;0;4;1;False
2022-10-16;0;13;0;4;1;False
2022-10-23;0;16;0;4;1;False
2022-10-30;0;10;0;4;1;False
2022-11-06;0;9;0;4;1;False
2022-11-13;0;9;0;9;1;False
2022-11-20;0;8;0;4;1;False
2022-11-27;0;9;0;5;1;False
2022-12-04;0;9;0;4;1;False
2022-12-11;0;9;0;4;1;False
2022-12-18;0;11;0;4;1;False
2022-12-25;0;11;0;5;1;False
2023-01-01;0;8;0;5;2;False
2023-01-08;0;8;0;5;1;False
2023-01-15;0;8;0;5;1;False
2023-01-22;0;8;0;4;1;False
2023-01-29;0;8;0;5;1;False
