date;Australian Greens;death row;J Sainsbury;Australian lifestyle;air travel;isPartial
2022-01-02;1;22;2;0;58;False
2022-01-09;0;19;4;0;67;False
2022-01-16;0;20;2;0;49;False
2022-01-23;0;25;3;0;54;False
2022-01-30;0;21;4;0;63;False
2022-02-06;0;61;3;0;62;False
2022-02-13;0;49;1;1;63;False
2022-02-20;0;31;3;1;63;False
2022-02-27;0;23;4;0;56;False
2022-03-06;0;22;1;1;58;False
2022-03-13;2;22;4;0;58;False
2022-03-20;0;61;2;1;57;False
2022-03-27;0;27;4;0;60;False
2022-04-03;0;23;3;0;56;False
2022-04-10;0;42;3;0;47;False
2022-04-17;0;36;3;0;52;False
2022-04-24;0;100;4;0;54;False
2022-05-01;0;58;2;0;56;False
2022-05-08;0;60;3;0;58;False
2022-05-15;1;25;3;0;60;False
2022-05-22;0;23;1;0;57;False
2022-05-29;0;18;2;1;58;False
2022-06-05;0;23;3;0;64;False
2022-06-12;0;22;4;0;58;False
2022-06-19;0;22;3;0;52;False
2022-06-26;0;20;2;0;56;False
2022-07-03;0;21;3;0;59;False
2022-07-10;0;23;2;1;61;False
2022-07-17;1;18;3;0;58;False
2022-07-24;0;32;5;0;58;False
2022-07-31;1;29;2;0;52;False
2022-08-07;0;24;3;0;51;False
2022-08-14;0;32;3;0;50;False
2022-08-21;1;28;2;0;43;False
2022-08-28;0;21;3;0;48;False
2022-09-04;1;19;2;1;51;False
2022-09-11;0;21;4;0;45;False
2022-09-18;0;23;2;0;44;False
2022-09-25;0;26;3;1;44;False
2022-10-02;1;24;3;0;42;False
2022-10-09;0;24;1;0;41;False
2022-10-16;0;22;3;0;37;False
2022-10-23;0;16;3;0;34;False
2022-10-30;0;19;3;0;34;False
2022-11-06;0;22;5;1;38;False
2022-11-13;0;22;3;0;32;False
2022-11-20;1;12;2;0;40;False
2022-11-27;1;18;3;1;39;False
2022-12-04;0;17;3;0;33;False
2022-12-11;0;19;4;0;34;False
2022-12-18;0;20;3;0;32;False
2022-12-25;0;24;3;0;43;False
2023-01-01;1;27;4;0;49;False
2023-01-08;0;21;3;0;46;False
2023-01-15;0;17;2;1;45;False
2023-01-22;0;18;3;0;41;False
2023-01-29;0;22;2;1;44;False
