date;JP Morgan;Pink Floyd;Arts funding;Oxbridge and elitism;air travel;isPartial
2022-01-02;28;37;2;0;37;False
2022-01-09;40;43;4;0;40;False
2022-01-16;42;39;3;0;31;False
2022-01-23;45;59;3;0;34;False
2022-01-30;42;46;3;0;39;False
2022-02-06;43;49;2;0;39;False
2022-02-13;36;38;2;0;39;False
2022-02-20;40;37;2;0;40;False
2022-02-27;38;40;4;0;35;False
2022-03-06;41;42;2;0;37;False
2022-03-13;38;35;3;0;37;False
2022-03-20;37;34;3;0;36;False
2022-03-27;41;39;2;0;38;False
2022-04-03;36;100;2;0;35;False
2022-04-10;32;57;2;0;30;False
2022-04-17;35;53;1;0;33;False
2022-04-24;38;41;1;0;34;False
2022-05-01;32;50;2;0;35;False
2022-05-08;40;41;0;0;36;False
2022-05-15;42;52;1;0;38;False
2022-05-22;42;47;3;0;36;False
2022-05-29;30;38;2;0;37;False
2022-06-05;34;43;3;0;41;False
2022-06-12;31;50;2;0;36;False
2022-06-19;33;42;3;0;33;False
2022-06-26;33;50;3;0;36;False
2022-07-03;46;41;2;0;37;False
2022-07-10;37;45;2;0;39;False
2022-07-17;35;41;2;0;37;False
2022-07-24;36;45;1;0;37;False
2022-07-31;32;44;1;0;33;False
2022-08-07;34;59;1;0;32;False
2022-08-14;29;37;2;0;31;False
2022-08-21;35;42;2;0;27;False
2022-08-28;37;44;2;0;30;False
2022-09-04;42;42;3;0;33;False
2022-09-11;40;41;2;0;28;False
2022-09-18;43;44;2;0;27;False
2022-09-25;41;55;2;0;28;False
2022-10-02;43;57;2;0;27;False
2022-10-09;50;47;2;0;26;False
2022-10-16;58;47;1;0;23;False
2022-10-23;45;53;3;0;22;False
2022-10-30;43;52;13;0;22;False
2022-11-06;47;52;7;0;24;False
2022-11-13;46;49;2;0;20;False
2022-11-20;42;47;3;0;25;False
2022-11-27;44;57;1;0;25;False
2022-12-04;33;42;2;0;21;False
2022-12-11;36;43;3;0;22;False
2022-12-18;26;45;3;0;20;False
2022-12-25;22;47;1;0;27;False
2023-01-01;36;42;3;0;31;False
2023-01-08;47;41;3;0;29;False
2023-01-15;43;62;3;0;28;False
2023-01-22;42;62;2;0;26;False
2023-01-29;42;52;3;0;28;False
