date;saudi arabia;Eurovision;austria;V&A;air travel;isPartial
2023-01-01;24;98;24;5;4;False
2023-01-02;23;14;24;6;5;False
2023-01-03;26;12;25;5;3;False
2023-01-04;24;9;24;3;5;False
2023-01-05;21;15;24;4;4;False
2023-01-06;22;11;20;5;4;False
2023-01-07;23;14;26;6;3;False
2023-01-08;22;12;26;4;4;False
2023-01-09;25;19;23;3;3;False
2023-01-10;24;22;20;4;4;False
2023-01-11;30;13;20;4;5;False
2023-01-12;24;14;20;5;4;False
2023-01-13;18;14;19;5;3;False
2023-01-14;15;15;21;5;3;False
2023-01-15;20;13;25;7;4;False
2023-01-16;19;13;18;4;4;False
2023-01-17;17;11;20;5;3;False
2023-01-18;19;10;19;5;4;False
2023-01-19;28;10;16;5;4;False
2023-01-20;18;13;20;5;3;False
2023-01-21;17;14;19;5;3;False
2023-01-22;18;12;18;5;4;False
2023-01-23;20;10;19;6;4;False
2023-01-24;17;10;20;4;3;False
2023-01-25;21;10;15;4;4;False
2023-01-26;16;41;16;6;4;False
2023-01-27;16;21;20;5;2;False
2023-01-28;16;21;18;5;3;False
2023-01-29;15;16;19;4;3;False
2023-01-30;16;20;18;6;5;False
2023-01-31;21;100;18;4;4;False
