date;Comedy;University of Manchester;syria;PEN;air travel;isPartial
2022-01-02;38;5;4;67;5;False
2022-01-09;42;6;6;74;6;False
2022-01-16;36;6;5;66;5;False
2022-01-23;44;6;6;70;5;False
2022-01-30;46;6;6;73;6;False
2022-02-06;45;6;5;70;6;False
2022-02-13;42;7;5;61;6;False
2022-02-20;43;6;10;67;6;False
2022-02-27;48;6;18;62;5;False
2022-03-06;45;6;19;63;5;False
2022-03-13;39;6;12;66;5;False
2022-03-20;38;6;10;65;5;False
2022-03-27;36;6;7;65;6;False
2022-04-03;40;5;7;71;5;False
2022-04-10;41;4;6;90;4;False
2022-04-17;38;4;6;79;5;False
2022-04-24;41;6;6;78;5;False
2022-05-01;42;5;5;69;5;False
2022-05-08;39;6;6;60;5;False
2022-05-15;38;6;5;64;6;False
2022-05-22;39;6;5;59;5;False
2022-05-29;38;4;4;57;5;False
2022-06-05;33;5;5;62;6;False
2022-06-12;35;5;5;65;5;False
2022-06-19;38;5;4;59;5;False
2022-06-26;37;5;5;66;5;False
2022-07-03;35;5;4;63;6;False
2022-07-10;33;5;5;62;6;False
2022-07-17;32;5;4;61;5;False
2022-07-24;41;5;4;62;5;False
2022-07-31;40;4;4;59;5;False
2022-08-07;37;5;4;62;5;False
2022-08-14;41;8;4;58;5;False
2022-08-21;37;6;4;58;4;False
2022-08-28;44;5;5;61;4;False
2022-09-04;35;7;4;65;5;False
2022-09-11;42;8;5;100;4;False
2022-09-18;40;8;5;68;4;False
2022-09-25;41;9;4;64;4;False
2022-10-02;44;7;4;66;4;False
2022-10-09;42;8;6;67;4;False
2022-10-16;41;7;4;64;3;False
2022-10-23;44;7;5;64;3;False
2022-10-30;43;6;4;57;3;False
2022-11-06;46;7;4;69;4;False
2022-11-13;40;7;5;74;3;False
2022-11-20;35;6;7;70;4;False
2022-11-27;37;6;7;75;4;False
2022-12-04;31;6;6;69;3;False
2022-12-11;40;5;4;69;3;False
2022-12-18;43;4;5;63;3;False
2022-12-25;47;3;5;73;4;False
2023-01-01;46;5;5;67;5;False
2023-01-08;47;6;6;62;4;False
2023-01-15;46;7;4;65;4;False
2023-01-22;48;7;5;62;4;False
2023-01-29;47;6;6;68;4;False
