date;Politics books;Davos;Jeremy Corbyn;Drama;air travel;isPartial
2022-01-02;0;1;2;100;6;False
2022-01-09;0;2;4;77;6;False
2022-01-16;0;2;4;72;5;False
2022-01-23;0;1;4;80;5;False
2022-01-30;0;2;3;74;6;False
2022-02-06;0;1;3;80;6;False
2022-02-13;0;1;3;69;6;False
2022-02-20;0;1;5;62;6;False
2022-02-27;0;1;4;63;6;False
2022-03-06;0;1;3;70;6;False
2022-03-13;0;1;2;67;6;False
2022-03-20;0;1;2;60;6;False
2022-03-27;0;1;2;57;6;False
2022-04-03;0;1;2;54;5;False
2022-04-10;0;1;2;55;5;False
2022-04-17;0;1;3;65;5;False
2022-04-24;0;1;3;63;5;False
2022-05-01;0;1;2;64;6;False
2022-05-08;0;1;2;60;6;False
2022-05-15;0;2;2;60;6;False
2022-05-22;0;8;2;52;6;False
2022-05-29;0;2;2;53;6;False
2022-06-05;0;1;2;58;6;False
2022-06-12;0;1;2;58;6;False
2022-06-19;0;1;3;61;5;False
2022-06-26;0;1;3;58;6;False
2022-07-03;0;1;6;50;6;False
2022-07-10;0;1;3;51;6;False
2022-07-17;0;1;4;53;6;False
2022-07-24;0;1;3;51;6;False
2022-07-31;0;1;6;53;5;False
2022-08-07;0;1;3;56;5;False
2022-08-14;0;1;2;56;5;False
2022-08-21;0;1;1;59;4;False
2022-08-28;0;1;2;62;5;False
2022-09-04;0;1;6;61;5;False
2022-09-11;0;1;4;55;4;False
2022-09-18;0;1;3;73;4;False
2022-09-25;0;1;6;70;4;False
2022-10-02;0;1;2;72;4;False
2022-10-09;0;1;2;68;4;False
2022-10-16;0;1;4;60;4;False
2022-10-23;0;1;4;57;3;False
2022-10-30;0;1;3;53;3;False
2022-11-06;0;1;3;54;4;False
2022-11-13;0;1;3;55;3;False
2022-11-20;0;1;2;53;4;False
2022-11-27;0;1;2;50;4;False
2022-12-04;0;1;2;54;3;False
2022-12-11;0;2;1;52;3;False
2022-12-18;0;1;2;55;3;False
2022-12-25;0;1;1;65;4;False
2023-01-01;0;3;2;67;5;False
2023-01-08;0;5;2;64;5;False
2023-01-15;0;19;3;63;4;False
2023-01-22;0;5;2;64;4;False
2023-01-29;0;3;2;61;4;False
