date;Trees and forests;surrey;cardiff;Extinction Rebellion;air travel;isPartial
2022-01-02;0;26;79;0;2;False
2022-01-09;0;24;71;0;2;False
2022-01-16;0;24;69;0;2;False
2022-01-23;0;25;76;0;2;False
2022-01-30;0;26;90;0;2;False
2022-02-06;0;26;93;0;2;False
2022-02-13;0;26;86;0;2;False
2022-02-20;0;25;84;0;2;False
2022-02-27;0;26;78;0;2;False
2022-03-06;0;24;77;0;2;False
2022-03-13;0;25;76;0;2;False
2022-03-20;0;25;78;0;2;False
2022-03-27;0;23;82;1;2;False
2022-04-03;0;24;76;2;2;False
2022-04-10;0;24;80;3;1;False
2022-04-17;0;24;81;1;2;False
2022-04-24;0;24;83;0;2;False
2022-05-01;0;27;86;0;2;False
2022-05-08;0;24;79;0;2;False
2022-05-15;0;25;81;0;2;False
2022-05-22;0;24;100;0;2;False
2022-05-29;0;25;95;0;2;False
2022-06-05;0;25;85;0;2;False
2022-06-12;0;25;88;0;2;False
2022-06-19;0;24;83;0;2;False
2022-06-26;0;24;81;0;2;False
2022-07-03;0;25;84;0;2;False
2022-07-10;0;26;84;0;2;False
2022-07-17;0;26;92;1;2;False
2022-07-24;0;28;86;0;2;False
2022-07-31;0;27;87;0;2;False
2022-08-07;0;28;92;0;2;False
2022-08-14;0;25;85;0;2;False
2022-08-21;0;26;97;0;1;False
2022-08-28;0;25;92;1;1;False
2022-09-04;0;26;80;1;2;False
2022-09-11;0;25;91;0;1;False
2022-09-18;0;25;81;0;1;False
2022-09-25;0;24;90;0;1;False
2022-10-02;0;25;93;0;1;False
2022-10-09;0;24;81;0;1;False
2022-10-16;0;23;82;1;1;False
2022-10-23;0;24;84;0;1;False
2022-10-30;0;24;83;0;1;False
2022-11-06;0;23;83;0;1;False
2022-11-13;0;23;76;0;1;False
2022-11-20;0;19;73;0;1;False
2022-11-27;0;21;81;0;1;False
2022-12-04;0;20;79;0;1;False
2022-12-11;0;21;79;0;1;False
2022-12-18;0;19;70;0;1;False
2022-12-25;0;16;79;0;1;False
2023-01-01;0;23;78;1;2;False
2023-01-08;0;25;92;0;1;False
2023-01-15;0;26;99;0;1;False
2023-01-22;0;24;84;0;1;False
2023-01-29;0;24;85;0;1;False
