date;bill nighy;West Bromwich Albion;Arm;University of Worcester;air travel;isPartial
2022-01-02;1;3;78;1;5;False
2022-01-09;1;2;83;1;6;False
2022-01-16;2;2;75;1;5;False
2022-01-23;2;4;81;1;5;False
2022-01-30;1;3;83;1;6;False
2022-02-06;1;2;80;1;6;False
2022-02-13;1;3;71;1;6;False
2022-02-20;1;2;81;1;6;False
2022-02-27;1;2;72;1;5;False
2022-03-06;1;2;76;1;5;False
2022-03-13;1;2;76;1;5;False
2022-03-20;1;1;76;1;5;False
2022-03-27;1;1;66;1;6;False
2022-04-03;1;3;72;1;5;False
2022-04-10;2;2;80;1;4;False
2022-04-17;2;2;74;1;5;False
2022-04-24;1;2;71;1;5;False
2022-05-01;1;2;100;1;5;False
2022-05-08;1;2;81;1;5;False
2022-05-15;1;1;74;1;6;False
2022-05-22;2;1;76;1;5;False
2022-05-29;2;1;77;1;5;False
2022-06-05;2;1;76;1;6;False
2022-06-12;1;1;82;1;5;False
2022-06-19;1;2;77;1;5;False
2022-06-26;1;2;80;1;5;False
2022-07-03;1;1;74;1;6;False
2022-07-10;1;3;77;0;6;False
2022-07-17;1;3;77;1;5;False
2022-07-24;2;3;82;1;5;False
2022-07-31;1;2;77;1;5;False
2022-08-07;1;4;79;0;5;False
2022-08-14;2;3;76;1;5;False
2022-08-21;1;3;72;1;4;False
2022-08-28;1;4;74;1;4;False
2022-09-04;1;2;69;1;5;False
2022-09-11;1;3;76;1;4;False
2022-09-18;1;2;73;1;4;False
2022-09-25;2;2;68;1;4;False
2022-10-02;2;4;76;1;4;False
2022-10-09;1;4;74;1;4;False
2022-10-16;2;3;79;1;3;False
2022-10-23;4;3;74;1;3;False
2022-10-30;6;3;69;1;3;False
2022-11-06;9;2;80;1;4;False
2022-11-13;5;1;73;1;3;False
2022-11-20;4;1;71;1;4;False
2022-11-27;4;1;70;1;4;False
2022-12-04;3;1;69;1;3;False
2022-12-11;4;2;60;1;3;False
2022-12-18;4;2;62;1;3;False
2022-12-25;4;3;66;0;4;False
2023-01-01;3;3;70;1;5;False
2023-01-08;3;2;72;1;4;False
2023-01-15;3;3;75;1;4;False
2023-01-22;6;2;72;1;4;False
2023-01-29;3;3;77;1;4;False
