date;Industrial relations;Bradford;Netherlands;Physics;air travel;isPartial
2022-01-02;0;57;9;14;2;False
2022-01-09;0;48;9;18;2;False
2022-01-16;0;49;9;17;2;False
2022-01-23;0;52;11;18;2;False
2022-01-30;0;58;10;16;2;False
2022-02-06;0;51;10;19;2;False
2022-02-13;0;61;10;15;2;False
2022-02-20;0;62;10;17;2;False
2022-02-27;0;53;10;20;2;False
2022-03-06;0;52;10;23;2;False
2022-03-13;0;54;11;22;2;False
2022-03-20;0;54;14;20;2;False
2022-03-27;0;55;15;18;2;False
2022-04-03;0;54;11;19;2;False
2022-04-10;0;56;10;17;2;False
2022-04-17;0;53;10;20;2;False
2022-04-24;0;58;10;27;2;False
2022-05-01;0;68;9;26;2;False
2022-05-08;0;61;11;27;2;False
2022-05-15;0;62;10;26;2;False
2022-05-22;0;60;9;27;2;False
2022-05-29;0;70;14;25;2;False
2022-06-05;0;62;22;47;2;False
2022-06-12;0;64;26;26;2;False
2022-06-19;0;64;25;37;2;False
2022-06-26;0;61;10;12;2;False
2022-07-03;0;60;11;8;2;False
2022-07-10;0;61;13;7;2;False
2022-07-17;0;65;15;6;2;False
2022-07-24;0;66;10;5;2;False
2022-07-31;0;57;10;5;2;False
2022-08-07;0;66;10;5;2;False
2022-08-14;0;61;15;6;2;False
2022-08-21;0;58;12;8;2;False
2022-08-28;0;64;9;8;2;False
2022-09-04;0;59;9;13;2;False
2022-09-11;0;62;9;15;2;False
2022-09-18;0;56;11;16;2;False
2022-09-25;0;62;10;19;2;False
2022-10-02;0;60;8;20;2;False
2022-10-09;0;54;8;19;2;False
2022-10-16;0;52;9;17;1;False
2022-10-23;0;56;13;12;1;False
2022-10-30;0;53;12;19;1;False
2022-11-06;0;58;12;23;1;False
2022-11-13;0;55;12;21;1;False
2022-11-20;0;48;64;20;2;False
2022-11-27;0;43;46;20;1;False
2022-12-04;0;44;100;19;1;False
2022-12-11;0;52;13;14;1;False
2022-12-18;0;51;9;9;1;False
2022-12-25;0;53;8;8;2;False
2023-01-01;0;55;8;15;2;False
2023-01-08;0;55;8;20;2;False
2023-01-15;0;57;8;21;2;False
2023-01-22;0;57;8;21;2;False
2023-01-29;0;55;8;20;2;False
