date;George Martin;Divorce;Dave Eggers;Doctors;air travel;isPartial
2022-01-02;3;34;0;86;7;False
2022-01-09;2;36;0;92;8;False
2022-01-16;3;33;0;86;6;False
2022-01-23;2;32;0;83;6;False
2022-01-30;2;32;0;89;7;False
2022-02-06;2;31;0;91;7;False
2022-02-13;2;31;0;81;7;False
2022-02-20;3;31;0;87;7;False
2022-02-27;3;30;0;80;6;False
2022-03-06;2;29;0;94;7;False
2022-03-13;3;29;0;83;7;False
2022-03-20;2;30;0;85;7;False
2022-03-27;2;33;0;83;7;False
2022-04-03;2;48;0;80;6;False
2022-04-10;2;35;0;84;6;False
2022-04-17;2;34;0;78;6;False
2022-04-24;2;34;0;83;6;False
2022-05-01;2;37;0;85;7;False
2022-05-08;2;36;0;88;7;False
2022-05-15;2;33;0;95;7;False
2022-05-22;2;30;0;85;7;False
2022-05-29;2;32;0;83;7;False
2022-06-05;1;32;0;94;8;False
2022-06-12;2;30;0;90;7;False
2022-06-19;2;30;0;91;6;False
2022-06-26;2;30;0;93;7;False
2022-07-03;2;30;0;86;7;False
2022-07-10;2;30;0;86;7;False
2022-07-17;2;28;0;80;7;False
2022-07-24;2;31;0;88;7;False
2022-07-31;2;30;0;85;6;False
2022-08-07;2;30;0;83;6;False
2022-08-14;3;30;0;77;6;False
2022-08-21;5;30;0;85;5;False
2022-08-28;3;31;0;78;6;False
2022-09-04;4;32;0;88;6;False
2022-09-11;3;33;0;94;5;False
2022-09-18;3;31;0;87;5;False
2022-09-25;3;29;0;92;5;False
2022-10-02;3;29;0;92;5;False
2022-10-09;4;30;0;100;5;False
2022-10-16;4;28;0;88;4;False
2022-10-23;6;29;0;92;4;False
2022-10-30;3;28;0;83;4;False
2022-11-06;3;33;0;88;4;False
2022-11-13;3;33;0;86;4;False
2022-11-20;2;28;0;77;5;False
2022-11-27;1;29;0;87;5;False
2022-12-04;2;26;0;89;4;False
2022-12-11;2;26;0;95;4;False
2022-12-18;2;27;0;89;4;False
2022-12-25;2;29;0;75;5;False
2023-01-01;2;35;0;94;6;False
2023-01-08;1;35;0;95;5;False
2023-01-15;2;35;0;94;5;False
2023-01-22;2;31;0;88;5;False
2023-01-29;2;35;0;91;5;False
