date;san francisco;Maternal mortality;Davos 2023;History;air travel;isPartial
2023-01-01;7;0;0;74;2;False
2023-01-02;6;0;0;83;2;False
2023-01-03;6;0;0;83;1;False
2023-01-04;7;0;0;88;2;False
2023-01-05;8;0;1;84;2;False
2023-01-06;7;0;0;80;2;False
2023-01-07;6;0;0;75;1;False
2023-01-08;8;0;0;92;2;False
2023-01-09;7;0;1;85;1;False
2023-01-10;8;0;0;91;2;False
2023-01-11;8;0;0;88;2;False
2023-01-12;8;0;0;94;2;False
2023-01-13;6;0;0;84;1;False
2023-01-14;8;0;0;81;1;False
2023-01-15;9;0;0;84;2;False
2023-01-16;8;1;1;100;2;False
2023-01-17;6;0;2;85;1;False
2023-01-18;6;0;1;87;2;False
2023-01-19;7;0;1;86;2;False
2023-01-20;6;0;1;84;1;False
2023-01-21;8;0;1;83;1;False
2023-01-22;9;0;0;82;2;False
2023-01-23;8;0;1;95;2;False
2023-01-24;7;0;0;93;1;False
2023-01-25;7;0;0;86;2;False
2023-01-26;6;0;0;85;2;False
2023-01-27;6;0;0;81;1;False
2023-01-28;6;0;0;82;2;False
2023-01-29;9;0;0;84;1;False
2023-01-30;7;0;0;94;2;False
2023-01-31;7;0;0;91;2;False
