date;Turner prize;Charities;Cider;Water transport;air travel;isPartial
2022-01-02;1;20;50;1;10;False
2022-01-09;0;23;51;1;11;False
2022-01-16;0;23;45;1;8;False
2022-01-23;1;23;43;1;9;False
2022-01-30;1;24;49;1;10;False
2022-02-06;0;24;44;1;10;False
2022-02-13;0;20;44;1;10;False
2022-02-20;0;23;46;1;11;False
2022-02-27;0;30;41;1;9;False
2022-03-06;0;27;43;1;10;False
2022-03-13;0;27;46;1;10;False
2022-03-20;1;24;48;1;9;False
2022-03-27;1;22;49;1;10;False
2022-04-03;0;0;50;1;9;False
2022-04-10;2;0;68;1;8;False
2022-04-17;1;0;62;1;9;False
2022-04-24;0;0;62;1;9;False
2022-05-01;0;0;70;2;9;False
2022-05-08;1;0;79;1;10;False
2022-05-15;1;0;82;1;10;False
2022-05-22;1;0;84;1;9;False
2022-05-29;0;0;88;1;10;False
2022-06-05;0;0;90;2;11;False
2022-06-12;0;0;93;1;9;False
2022-06-19;0;0;88;1;9;False
2022-06-26;0;0;80;1;9;False
2022-07-03;0;0;79;1;10;False
2022-07-10;0;0;92;1;10;False
2022-07-17;0;0;86;1;10;False
2022-07-24;0;0;87;1;10;False
2022-07-31;1;0;83;1;9;False
2022-08-07;3;0;100;1;8;False
2022-08-14;0;0;78;0;8;False
2022-08-21;0;0;78;1;7;False
2022-08-28;0;0;77;1;8;False
2022-09-04;0;0;70;1;9;False
2022-09-11;0;0;66;1;7;False
2022-09-18;0;0;62;1;7;False
2022-09-25;1;0;58;1;7;False
2022-10-02;1;0;62;2;7;False
2022-10-09;1;0;64;1;7;False
2022-10-16;1;0;68;1;6;False
2022-10-23;1;0;66;1;6;False
2022-10-30;1;0;59;1;6;False
2022-11-06;0;0;68;1;6;False
2022-11-13;1;0;64;2;5;False
2022-11-20;1;0;70;1;7;False
2022-11-27;1;0;70;2;7;False
2022-12-04;5;0;58;2;6;False
2022-12-11;1;0;61;1;6;False
2022-12-18;1;0;77;0;5;False
2022-12-25;1;0;64;1;7;False
2023-01-01;1;0;59;1;8;False
2023-01-08;1;0;58;1;8;False
2023-01-15;1;0;56;1;7;False
2023-01-22;1;0;58;1;7;False
2023-01-29;1;0;59;1;7;False
