date;Charlie Higson;CES;Naomi Osaka;Luke Donald;air travel;isPartial
2023-01-01;2;10;2;0;13;False
2023-01-02;1;13;0;0;16;False
2023-01-03;1;28;2;0;10;False
2023-01-04;3;41;0;0;15;False
2023-01-05;0;51;3;0;13;False
2023-01-06;0;38;4;0;13;False
2023-01-07;0;17;0;0;9;False
2023-01-08;1;22;24;0;15;False
2023-01-09;1;18;6;0;9;False
2023-01-10;0;19;3;0;14;False
2023-01-11;0;15;100;1;16;False
2023-01-12;0;13;52;0;13;False
2023-01-13;0;9;9;0;10;False
2023-01-14;0;9;7;0;10;False
2023-01-15;4;7;4;0;12;False
2023-01-16;0;8;3;1;12;False
2023-01-17;1;9;2;0;10;False
2023-01-18;0;9;4;0;14;False
2023-01-19;2;12;1;1;13;False
2023-01-20;0;5;2;1;10;False
2023-01-21;1;7;6;1;11;False
2023-01-22;1;8;3;0;12;False
2023-01-23;0;8;2;0;13;False
2023-01-24;0;6;4;0;10;False
2023-01-25;1;6;0;1;13;False
2023-01-26;0;6;0;3;12;False
2023-01-27;0;7;2;2;8;False
2023-01-28;0;4;0;3;11;False
2023-01-29;0;5;1;0;10;False
2023-01-30;0;3;2;2;17;False
2023-01-31;0;9;1;0;15;False
