date;Academics;Harry Kane;Woody Allen;leicester;air travel;isPartial
2022-01-02;0;2;0;68;2;False
2022-01-09;0;2;0;71;2;False
2022-01-16;0;2;0;69;1;False
2022-01-23;0;2;0;67;2;False
2022-01-30;0;2;1;68;2;False
2022-02-06;0;2;0;89;2;False
2022-02-13;0;3;1;81;2;False
2022-02-20;0;3;0;79;2;False
2022-02-27;0;2;0;74;2;False
2022-03-06;0;4;0;68;2;False
2022-03-13;0;2;0;75;2;False
2022-03-20;0;3;0;67;2;False
2022-03-27;0;3;1;78;2;False
2022-04-03;0;2;1;71;2;False
2022-04-10;0;2;1;79;1;False
2022-04-17;0;2;0;84;2;False
2022-04-24;0;1;0;70;2;False
2022-05-01;0;1;0;91;2;False
2022-05-08;0;3;0;77;2;False
2022-05-15;0;2;0;79;2;False
2022-05-22;0;4;0;66;2;False
2022-05-29;0;3;0;69;2;False
2022-06-05;0;5;0;64;2;False
2022-06-12;0;2;0;72;2;False
2022-06-19;0;1;0;67;2;False
2022-06-26;0;1;1;65;2;False
2022-07-03;0;3;0;62;2;False
2022-07-10;0;2;0;64;2;False
2022-07-17;0;2;0;71;2;False
2022-07-24;0;2;0;71;2;False
2022-07-31;0;2;0;77;2;False
2022-08-07;0;1;0;89;1;False
2022-08-14;0;3;0;70;1;False
2022-08-21;0;2;0;83;1;False
2022-08-28;0;3;0;100;1;False
2022-09-04;0;2;0;85;2;False
2022-09-11;0;1;1;91;1;False
2022-09-18;0;2;1;90;1;False
2022-09-25;0;3;1;70;1;False
2022-10-02;0;2;0;94;1;False
2022-10-09;0;4;1;76;1;False
2022-10-16;0;2;0;72;1;False
2022-10-23;0;2;0;85;1;False
2022-10-30;0;2;0;68;1;False
2022-11-06;0;3;0;70;1;False
2022-11-13;0;2;0;64;1;False
2022-11-20;0;15;0;55;1;False
2022-11-27;0;6;0;62;1;False
2022-12-04;0;20;0;58;1;False
2022-12-11;0;17;0;62;1;False
2022-12-18;0;3;0;70;1;False
2022-12-25;0;3;0;96;1;False
2023-01-01;0;4;0;74;1;False
2023-01-08;0;3;0;72;1;False
2023-01-15;0;4;0;73;1;False
2023-01-22;0;5;0;69;1;False
2023-01-29;0;2;0;76;1;False
