date;Hermes;Chat and messaging apps;grant shapps;Muriel Spark;air travel;isPartial
2022-01-02;100;0;0;0;4;False
2022-01-09;90;0;0;0;4;False
2022-01-16;77;0;1;0;3;False
2022-01-23;76;0;1;0;4;False
2022-01-30;76;0;0;0;4;False
2022-02-06;69;0;0;0;4;False
2022-02-13;65;0;0;0;4;False
2022-02-20;68;0;0;0;4;False
2022-02-27;67;0;0;0;4;False
2022-03-06;70;0;1;0;4;False
2022-03-13;79;0;1;0;4;False
2022-03-20;73;0;1;0;4;False
2022-03-27;63;0;1;0;4;False
2022-04-03;59;0;1;0;4;False
2022-04-10;58;0;1;0;3;False
2022-04-17;49;0;1;0;3;False
2022-04-24;46;0;0;0;4;False
2022-05-01;48;0;0;0;4;False
2022-05-08;45;0;0;0;4;False
2022-05-15;42;0;0;0;4;False
2022-05-22;41;0;1;0;4;False
2022-05-29;39;0;0;0;4;False
2022-06-05;45;0;1;0;4;False
2022-06-12;39;0;1;0;4;False
2022-06-19;40;0;4;0;3;False
2022-06-26;38;0;1;0;4;False
2022-07-03;38;0;6;0;4;False
2022-07-10;40;0;5;0;4;False
2022-07-17;38;0;1;0;4;False
2022-07-24;38;0;1;0;4;False
2022-07-31;34;0;1;0;3;False
2022-08-07;33;0;0;0;3;False
2022-08-14;27;0;2;0;3;False
2022-08-21;33;0;1;0;3;False
2022-08-28;34;0;1;0;3;False
2022-09-04;34;0;2;0;3;False
2022-09-11;32;0;0;0;3;False
2022-09-18;30;0;0;0;3;False
2022-09-25;29;0;0;0;3;False
2022-10-02;31;0;1;0;3;False
2022-10-09;31;0;0;0;3;False
2022-10-16;26;0;11;0;2;False
2022-10-23;27;0;5;0;2;False
2022-10-30;25;0;1;0;2;False
2022-11-06;31;0;1;0;3;False
2022-11-13;31;0;0;0;2;False
2022-11-20;28;0;0;0;3;False
2022-11-27;28;0;1;0;3;False
2022-12-04;36;0;0;0;2;False
2022-12-11;41;0;1;0;2;False
2022-12-18;40;0;1;0;2;False
2022-12-25;24;0;0;0;3;False
2023-01-01;27;0;0;0;3;False
2023-01-08;28;0;2;0;3;False
2023-01-15;24;0;1;0;3;False
2023-01-22;21;0;0;0;3;False
2023-01-29;22;0;0;0;3;False
