date;Nagorno-Karabakh;european parliament;True crime (Podcasts);Quarterly results;air travel;isPartial
2023-01-01;0;13;19;10;76;False
2023-01-02;26;7;7;0;90;False
2023-01-03;0;7;7;0;59;False
2023-01-04;0;12;0;0;89;False
2023-01-05;0;0;8;0;73;False
2023-01-06;0;15;10;6;73;False
2023-01-07;0;0;16;0;53;False
2023-01-08;0;0;0;0;84;False
2023-01-09;17;0;8;0;50;False
2023-01-10;0;18;9;0;79;False
2023-01-11;0;0;6;6;90;False
2023-01-12;11;9;7;0;75;False
2023-01-13;0;13;0;0;60;False
2023-01-14;0;0;0;0;56;False
2023-01-15;0;10;6;0;66;False
2023-01-16;10;18;10;5;68;False
2023-01-17;0;20;11;5;56;False
2023-01-18;0;10;10;0;80;False
2023-01-19;0;20;10;0;73;False
2023-01-20;6;8;6;8;59;False
2023-01-21;0;0;0;7;63;False
2023-01-22;8;0;0;0;70;False
2023-01-23;0;10;7;0;72;False
2023-01-24;0;9;0;0;55;False
2023-01-25;11;8;7;4;75;False
2023-01-26;0;4;7;0;68;False
2023-01-27;0;5;6;0;47;False
2023-01-28;0;8;0;11;66;False
2023-01-29;0;0;0;16;60;False
2023-01-30;0;0;5;0;100;False
2023-01-31;0;17;0;13;84;False
