date;stormzy;Obama administration;US politics;Bullying;air travel;isPartial
2022-01-02;15;0;1;0;16;False
2022-01-09;14;0;2;0;18;False
2022-01-16;11;0;2;22;13;False
2022-01-23;13;0;2;25;15;False
2022-01-30;12;0;1;25;17;False
2022-02-06;21;0;2;25;17;False
2022-02-13;16;0;1;24;17;False
2022-02-20;24;0;1;0;17;False
2022-02-27;23;0;1;21;15;False
2022-03-06;28;0;2;25;16;False
2022-03-13;54;0;2;0;16;False
2022-03-20;46;0;1;23;15;False
2022-03-27;43;0;1;23;16;False
2022-04-03;21;0;1;0;15;False
2022-04-10;10;0;1;0;13;False
2022-04-17;10;0;2;16;14;False
2022-04-24;9;0;1;21;15;False
2022-05-01;17;0;2;21;15;False
2022-05-08;11;0;1;21;16;False
2022-05-15;9;0;1;0;16;False
2022-05-22;9;0;1;0;15;False
2022-05-29;10;0;1;14;16;False
2022-06-05;10;0;2;22;17;False
2022-06-12;11;0;3;23;16;False
2022-06-19;32;0;1;22;14;False
2022-06-26;18;0;2;23;15;False
2022-07-03;13;0;1;22;16;False
2022-07-10;10;0;1;0;17;False
2022-07-17;9;0;1;20;16;False
2022-07-24;11;0;1;17;16;False
2022-07-31;8;0;1;15;14;False
2022-08-07;9;0;1;16;14;False
2022-08-14;8;0;1;14;13;False
2022-08-21;20;0;1;15;12;False
2022-08-28;10;0;1;0;13;False
2022-09-04;8;0;2;0;14;False
2022-09-11;8;0;2;0;12;False
2022-09-18;43;0;2;0;12;False
2022-09-25;28;0;2;26;12;False
2022-10-02;14;0;2;28;11;False
2022-10-09;29;0;2;27;11;False
2022-10-16;57;0;2;27;10;False
2022-10-23;100;0;2;0;9;False
2022-10-30;49;0;2;0;9;False
2022-11-06;41;0;6;47;10;False
2022-11-13;89;0;3;0;9;False
2022-11-20;57;0;1;32;11;False
2022-11-27;65;0;2;0;11;False
2022-12-04;33;0;1;0;9;False
2022-12-11;29;0;2;23;9;False
2022-12-18;31;0;1;15;9;False
2022-12-25;25;0;1;11;12;False
2023-01-01;19;0;2;16;13;False
2023-01-08;19;0;2;20;12;False
2023-01-15;33;0;2;0;12;False
2023-01-22;17;0;1;0;11;False
2023-01-29;15;0;2;0;12;False
