date;A Room with a View;mafia;Cycling holidays;Blur;air travel;isPartial
2022-01-02;3;51;1;32;18;False
2022-01-09;2;44;2;31;19;False
2022-01-16;2;38;1;30;15;False
2022-01-23;2;39;2;35;17;False
2022-01-30;2;43;2;33;19;False
2022-02-06;2;39;2;32;19;False
2022-02-13;10;39;2;31;19;False
2022-02-20;3;42;1;33;19;False
2022-02-27;2;38;1;30;17;False
2022-03-06;2;36;1;31;18;False
2022-03-13;2;36;2;35;18;False
2022-03-20;2;34;2;31;17;False
2022-03-27;2;34;2;29;18;False
2022-04-03;1;37;2;34;17;False
2022-04-10;1;41;2;35;15;False
2022-04-17;1;42;2;31;16;False
2022-04-24;1;37;2;31;17;False
2022-05-01;2;42;2;35;17;False
2022-05-08;1;40;2;30;18;False
2022-05-15;1;39;2;32;18;False
2022-05-22;2;38;2;31;17;False
2022-05-29;1;41;2;31;18;False
2022-06-05;2;42;1;30;20;False
2022-06-12;2;40;2;30;17;False
2022-06-19;2;39;2;33;16;False
2022-06-26;1;41;3;31;17;False
2022-07-03;2;43;1;31;18;False
2022-07-10;1;43;3;30;19;False
2022-07-17;2;43;1;32;18;False
2022-07-24;3;48;2;30;18;False
2022-07-31;1;46;2;31;16;False
2022-08-07;1;41;2;31;15;False
2022-08-14;2;39;2;31;15;False
2022-08-21;2;41;2;37;13;False
2022-08-28;1;46;2;32;15;False
2022-09-04;1;42;1;30;16;False
2022-09-11;2;41;2;32;14;False
2022-09-18;2;43;2;28;13;False
2022-09-25;2;56;1;28;13;False
2022-10-02;1;51;2;30;13;False
2022-10-09;1;44;1;29;12;False
2022-10-16;2;33;1;30;11;False
2022-10-23;1;35;2;36;10;False
2022-10-30;2;31;1;28;10;False
2022-11-06;2;31;1;31;12;False
2022-11-13;2;35;1;100;10;False
2022-11-20;1;30;1;44;12;False
2022-11-27;1;35;1;38;12;False
2022-12-04;1;31;1;31;10;False
2022-12-11;1;31;1;33;10;False
2022-12-18;2;37;1;33;10;False
2022-12-25;1;51;2;35;13;False
2023-01-01;3;47;2;35;15;False
2023-01-08;2;41;3;34;14;False
2023-01-15;7;58;2;41;14;False
2023-01-22;5;40;2;37;13;False
2023-01-29;3;41;2;36;14;False
