date;TS Eliot prize for poetry;Phoenix Suns;lgbt;Commuting;air travel;isPartial
2023-01-01;0;0;51;5;24;False
2023-01-02;0;0;42;8;28;False
2023-01-03;0;0;53;5;18;False
2023-01-04;0;0;46;9;28;False
2023-01-05;0;2;43;5;23;False
2023-01-06;0;3;100;6;23;False
2023-01-07;0;0;77;3;17;False
2023-01-08;0;2;73;6;26;False
2023-01-09;0;2;59;10;16;False
2023-01-10;0;0;56;2;25;False
2023-01-11;0;0;46;6;28;False
2023-01-12;0;0;51;6;23;False
2023-01-13;0;2;48;4;19;False
2023-01-14;0;0;39;8;18;False
2023-01-15;0;3;42;5;21;False
2023-01-16;0;7;59;7;21;False
2023-01-17;0;2;66;7;17;False
2023-01-18;0;0;72;7;25;False
2023-01-19;0;0;61;3;23;False
2023-01-20;0;4;60;6;18;False
2023-01-21;0;0;40;2;20;False
2023-01-22;0;0;48;7;22;False
2023-01-23;0;2;61;7;23;False
2023-01-24;0;0;63;6;17;False
2023-01-25;0;0;74;7;24;False
2023-01-26;0;3;60;2;21;False
2023-01-27;0;4;56;0;15;False
2023-01-28;0;0;40;0;21;False
2023-01-29;0;0;43;4;19;False
2023-01-30;0;0;64;10;31;False
2023-01-31;0;0;89;6;26;False
