date;extinction rebellion;X-Men;Western Australia;placido domingo;air travel;isPartial
2022-01-02;10;24;23;1;63;False
2022-01-09;9;26;33;4;73;False
2022-01-16;11;24;46;2;54;False
2022-01-23;9;25;35;2;59;False
2022-01-30;8;26;34;3;68;False
2022-02-06;11;22;41;1;67;False
2022-02-13;10;33;39;1;68;False
2022-02-20;9;29;31;2;69;False
2022-02-27;9;28;26;1;61;False
2022-03-06;14;29;31;1;64;False
2022-03-13;13;23;23;2;63;False
2022-03-20;10;28;20;2;62;False
2022-03-27;18;23;19;1;65;False
2022-04-03;61;24;20;1;61;False
2022-04-10;100;25;19;1;52;False
2022-04-17;25;24;18;3;57;False
2022-04-24;16;24;17;1;59;False
2022-05-01;15;28;20;1;61;False
2022-05-08;13;25;16;1;63;False
2022-05-15;10;25;19;1;65;False
2022-05-22;10;23;19;1;62;False
2022-05-29;8;22;18;2;63;False
2022-06-05;8;20;19;2;70;False
2022-06-12;8;20;19;0;63;False
2022-06-19;8;22;15;1;57;False
2022-06-26;7;20;20;1;61;False
2022-07-03;13;18;19;1;65;False
2022-07-10;10;25;17;0;67;False
2022-07-17;24;25;17;1;64;False
2022-07-24;12;25;17;3;63;False
2022-07-31;9;21;18;2;57;False
2022-08-07;8;23;17;2;55;False
2022-08-14;9;21;16;3;54;False
2022-08-21;9;27;15;3;47;False
2022-08-28;50;27;16;3;52;False
2022-09-04;22;21;17;1;56;False
2022-09-11;11;18;16;1;49;False
2022-09-18;9;19;18;1;48;False
2022-09-25;12;29;16;2;48;False
2022-10-02;16;22;21;1;46;False
2022-10-09;18;22;36;5;45;False
2022-10-16;25;22;32;1;40;False
2022-10-23;12;19;26;1;37;False
2022-10-30;9;17;24;0;37;False
2022-11-06;16;25;24;1;42;False
2022-11-13;16;22;18;1;35;False
2022-11-20;10;17;24;1;44;False
2022-11-27;10;16;21;2;43;False
2022-12-04;10;19;21;1;36;False
2022-12-11;5;16;21;1;37;False
2022-12-18;7;15;21;4;35;False
2022-12-25;2;21;25;1;47;False
2023-01-01;18;27;28;1;54;False
2023-01-08;7;17;33;1;50;False
2023-01-15;9;17;22;1;49;False
2023-01-22;12;15;21;1;45;False
2023-01-29;9;24;28;2;48;False
