date;Consciousness;Stephen Hendry;Indian food and drink;olivia wilde;air travel;isPartial
2022-01-02;6;2;0;9;14;False
2022-01-09;7;7;0;7;15;False
2022-01-16;7;1;0;7;12;False
2022-01-23;8;1;0;6;13;False
2022-01-30;7;1;0;7;14;False
2022-02-06;7;1;0;5;15;False
2022-02-13;6;1;0;4;15;False
2022-02-20;7;1;0;5;15;False
2022-02-27;7;1;0;5;13;False
2022-03-06;7;1;0;5;14;False
2022-03-13;7;1;0;4;14;False
2022-03-20;8;1;0;7;13;False
2022-03-27;8;2;0;8;14;False
2022-04-03;8;1;0;8;13;False
2022-04-10;8;2;0;8;11;False
2022-04-17;8;7;0;16;12;False
2022-04-24;8;16;0;52;13;False
2022-05-01;9;32;0;25;13;False
2022-05-08;9;2;0;12;14;False
2022-05-15;8;1;0;16;14;False
2022-05-22;8;1;0;30;13;False
2022-05-29;8;0;0;21;14;False
2022-06-05;7;1;0;12;15;False
2022-06-12;7;1;0;24;13;False
2022-06-19;7;0;0;24;12;False
2022-06-26;6;1;0;11;13;False
2022-07-03;7;0;0;8;14;False
2022-07-10;7;0;0;7;14;False
2022-07-17;5;0;0;11;14;False
2022-07-24;6;1;0;13;14;False
2022-07-31;5;0;0;11;12;False
2022-08-07;7;0;0;20;12;False
2022-08-14;5;1;0;15;12;False
2022-08-21;5;0;0;47;10;False
2022-08-28;5;0;0;33;11;False
2022-09-04;6;0;0;100;12;False
2022-09-11;7;0;0;31;11;False
2022-09-18;6;0;0;25;10;False
2022-09-25;6;2;0;35;10;False
2022-10-02;7;1;0;20;10;False
2022-10-09;7;0;0;19;9;False
2022-10-16;7;0;0;35;9;False
2022-10-23;7;1;0;16;8;False
2022-10-30;6;1;0;12;8;False
2022-11-06;7;1;0;11;9;False
2022-11-13;7;3;0;19;8;False
2022-11-20;7;3;0;17;9;False
2022-11-27;8;0;0;9;9;False
2022-12-04;6;1;0;11;8;False
2022-12-11;6;1;0;8;8;False
2022-12-18;6;2;0;8;8;False
2022-12-25;5;1;0;10;10;False
2023-01-01;7;1;0;8;12;False
2023-01-08;7;9;0;5;11;False
2023-01-15;7;19;0;7;10;False
2023-01-22;7;18;0;6;10;False
2023-01-29;6;2;0;5;10;False
