date;Vaccines and immunisation;Royal Shakespeare Company;anna faris;Jeffrey Epstein;air travel;isPartial
2022-01-02;0;4;7;100;46;False
2022-01-09;1;2;8;78;50;False
2022-01-16;0;4;7;86;39;False
2022-01-23;0;3;7;37;43;False
2022-01-30;0;1;8;24;49;False
2022-02-06;0;3;4;18;49;False
2022-02-13;0;4;6;48;49;False
2022-02-20;0;3;5;32;50;False
2022-02-27;0;3;4;16;44;False
2022-03-06;0;3;5;11;46;False
2022-03-13;0;1;5;11;46;False
2022-03-20;1;2;5;12;45;False
2022-03-27;0;3;7;14;47;False
2022-04-03;0;3;5;20;43;False
2022-04-10;0;3;7;28;37;False
2022-04-17;0;3;6;22;42;False
2022-04-24;0;4;3;14;43;False
2022-05-01;0;3;5;13;44;False
2022-05-08;0;3;7;9;46;False
2022-05-15;0;3;6;7;47;False
2022-05-22;1;4;5;9;45;False
2022-05-29;1;1;6;13;46;False
2022-06-05;0;3;6;16;51;False
2022-06-12;0;2;4;10;44;False
2022-06-19;0;3;7;10;41;False
2022-06-26;0;2;13;43;44;False
2022-07-03;1;2;7;36;47;False
2022-07-10;0;4;8;16;49;False
2022-07-17;0;4;6;11;46;False
2022-07-24;0;3;5;10;46;False
2022-07-31;1;2;6;9;41;False
2022-08-07;0;3;7;12;40;False
2022-08-14;1;0;7;10;39;False
2022-08-21;0;1;4;9;34;False
2022-08-28;0;4;6;8;38;False
2022-09-04;0;2;5;22;41;False
2022-09-11;1;4;3;47;35;False
2022-09-18;0;3;6;28;34;False
2022-09-25;0;2;5;18;35;False
2022-10-02;0;11;5;15;33;False
2022-10-09;0;3;6;15;32;False
2022-10-16;0;3;15;12;29;False
2022-10-23;0;4;7;11;27;False
2022-10-30;0;3;6;8;27;False
2022-11-06;0;4;4;9;30;False
2022-11-13;0;3;5;13;25;False
2022-11-20;0;3;3;18;32;False
2022-11-27;0;3;4;33;31;False
2022-12-04;0;3;4;24;26;False
2022-12-11;0;4;7;21;27;False
2022-12-18;0;3;7;17;25;False
2022-12-25;1;3;5;26;33;False
2023-01-01;0;3;6;20;39;False
2023-01-08;1;3;9;15;36;False
2023-01-15;0;4;13;15;35;False
2023-01-22;0;4;8;20;32;False
2023-01-29;0;3;7;13;35;False
