date;Mulholland Drive;Rome holidays;The Greatest Showman;Commonwealth of Nations;air travel;isPartial
2022-01-02;5;14;51;0;46;False
2022-01-09;5;15;30;0;50;False
2022-01-16;5;14;98;0;39;False
2022-01-23;6;11;48;1;43;False
2022-01-30;3;13;43;1;49;False
2022-02-06;3;14;31;1;49;False
2022-02-13;4;13;34;1;49;False
2022-02-20;3;12;25;1;50;False
2022-02-27;4;11;22;0;44;False
2022-03-06;3;14;24;0;46;False
2022-03-13;2;14;23;1;46;False
2022-03-20;5;16;28;1;45;False
2022-03-27;6;15;64;0;47;False
2022-04-03;6;15;31;0;43;False
2022-04-10;7;14;95;2;37;False
2022-04-17;4;16;100;0;42;False
2022-04-24;4;12;30;2;43;False
2022-05-01;5;16;35;0;44;False
2022-05-08;4;16;29;0;46;False
2022-05-15;3;13;39;0;47;False
2022-05-22;3;14;29;1;45;False
2022-05-29;2;11;44;2;46;False
2022-06-05;4;12;40;1;51;False
2022-06-12;3;17;55;0;44;False
2022-06-19;3;16;26;1;41;False
2022-06-26;5;14;26;1;44;False
2022-07-03;6;17;21;1;47;False
2022-07-10;4;14;24;0;49;False
2022-07-17;2;14;32;1;46;False
2022-07-24;4;15;31;4;46;False
2022-07-31;6;16;29;3;41;False
2022-08-07;3;13;19;1;40;False
2022-08-14;4;18;21;0;39;False
2022-08-21;5;17;22;1;34;False
2022-08-28;4;15;44;0;38;False
2022-09-04;3;14;20;4;41;False
2022-09-11;3;14;20;3;35;False
2022-09-18;6;13;27;3;34;False
2022-09-25;4;12;39;1;35;False
2022-10-02;4;13;31;0;33;False
2022-10-09;4;11;27;1;32;False
2022-10-16;5;12;27;1;29;False
2022-10-23;4;12;25;1;27;False
2022-10-30;5;12;38;0;27;False
2022-11-06;5;12;28;0;30;False
2022-11-13;3;10;23;0;25;False
2022-11-20;3;10;18;1;32;False
2022-11-27;5;10;19;0;31;False
2022-12-04;24;8;19;1;26;False
2022-12-11;13;9;19;1;27;False
2022-12-18;9;10;29;1;25;False
2022-12-25;17;20;47;0;33;False
2023-01-01;13;25;75;0;39;False
2023-01-08;7;22;27;0;36;False
2023-01-15;5;25;24;1;35;False
2023-01-22;5;22;27;1;32;False
2023-01-29;5;17;20;1;35;False
