date;andrew mitchell;Day trips;Bernie Sanders;south sudan;air travel;isPartial
2022-01-02;2;44;5;7;39;False
2022-01-09;6;50;6;7;44;False
2022-01-16;2;46;5;8;33;False
2022-01-23;3;53;5;9;36;False
2022-01-30;20;53;5;7;42;False
2022-02-06;2;55;4;7;41;False
2022-02-13;2;50;4;6;42;False
2022-02-20;2;61;5;8;42;False
2022-02-27;2;52;5;11;37;False
2022-03-06;3;56;4;8;39;False
2022-03-13;3;61;4;6;39;False
2022-03-20;1;67;3;9;38;False
2022-03-27;1;57;3;9;40;False
2022-04-03;1;69;4;8;37;False
2022-04-10;2;82;3;9;32;False
2022-04-17;4;71;4;8;35;False
2022-04-24;1;73;4;9;36;False
2022-05-01;1;71;4;7;37;False
2022-05-08;1;66;1;6;39;False
2022-05-15;2;69;3;8;40;False
2022-05-22;2;67;5;8;38;False
2022-05-29;2;84;3;10;39;False
2022-06-05;4;73;3;10;43;False
2022-06-12;2;71;5;9;39;False
2022-06-19;1;74;3;8;35;False
2022-06-26;2;70;5;9;38;False
2022-07-03;4;81;2;7;40;False
2022-07-10;2;88;3;6;41;False
2022-07-17;2;75;4;6;39;False
2022-07-24;1;100;4;7;39;False
2022-07-31;1;96;5;5;35;False
2022-08-07;0;100;3;7;34;False
2022-08-14;1;78;3;7;33;False
2022-08-21;2;88;5;5;29;False
2022-08-28;2;72;15;7;32;False
2022-09-04;2;58;7;6;34;False
2022-09-11;1;60;5;8;30;False
2022-09-18;1;59;2;6;29;False
2022-09-25;2;57;2;7;29;False
2022-10-02;2;54;4;7;28;False
2022-10-09;2;54;2;9;28;False
2022-10-16;7;56;3;8;25;False
2022-10-23;13;51;5;9;23;False
2022-10-30;3;48;5;9;23;False
2022-11-06;2;49;8;9;26;False
2022-11-13;3;41;6;7;21;False
2022-11-20;2;35;5;7;27;False
2022-11-27;3;37;3;7;26;False
2022-12-04;2;33;3;8;22;False
2022-12-11;1;30;4;12;23;False
2022-12-18;1;35;3;8;21;False
2022-12-25;2;44;3;8;29;False
2023-01-01;2;62;3;25;33;False
2023-01-08;2;58;3;11;31;False
2023-01-15;1;60;5;9;30;False
2023-01-22;2;63;3;9;27;False
2023-01-29;0;69;6;12;30;False
