date;chelsea;Scarborough;Daniel Andrews;Belarus;air travel;isPartial
2022-01-02;84;7;0;0;1;False
2022-01-09;58;6;0;1;1;False
2022-01-16;40;7;0;1;1;False
2022-01-23;48;7;0;1;1;False
2022-01-30;43;7;0;1;1;False
2022-02-06;48;7;0;1;1;False
2022-02-13;33;8;0;2;1;False
2022-02-20;49;8;0;7;1;False
2022-02-27;100;7;0;13;1;False
2022-03-06;56;8;0;3;1;False
2022-03-13;66;8;0;2;1;False
2022-03-20;31;9;0;2;1;False
2022-03-27;33;8;0;1;1;False
2022-04-03;57;9;0;1;1;False
2022-04-10;63;9;0;1;1;False
2022-04-17;68;9;0;1;1;False
2022-04-24;61;9;0;1;1;False
2022-05-01;57;10;0;1;1;False
2022-05-08;85;10;0;1;1;False
2022-05-15;47;10;0;1;1;False
2022-05-22;53;9;0;1;1;False
2022-05-29;35;12;0;1;1;False
2022-06-05;26;10;0;1;1;False
2022-06-12;27;10;0;1;1;False
2022-06-19;26;12;0;1;1;False
2022-06-26;30;10;0;1;1;False
2022-07-03;36;11;0;1;1;False
2022-07-10;37;13;0;1;1;False
2022-07-17;42;13;0;1;1;False
2022-07-24;49;13;0;0;1;False
2022-07-31;54;13;0;0;1;False
2022-08-07;42;14;0;1;1;False
2022-08-14;57;11;0;0;1;False
2022-08-21;64;12;0;0;1;False
2022-08-28;63;11;0;0;1;False
2022-09-04;59;9;0;1;1;False
2022-09-11;40;10;0;1;1;False
2022-09-18;29;8;0;1;1;False
2022-09-25;33;9;0;1;1;False
2022-10-02;45;7;0;1;1;False
2022-10-09;38;7;0;2;1;False
2022-10-16;60;7;0;1;1;False
2022-10-23;46;9;0;1;1;False
2022-10-30;36;7;0;0;1;False
2022-11-06;63;6;0;0;1;False
2022-11-13;28;6;0;1;1;False
2022-11-20;26;5;0;0;1;False
2022-11-27;24;5;0;1;1;False
2022-12-04;23;5;0;0;1;False
2022-12-11;29;6;0;1;1;False
2022-12-18;29;6;0;1;1;False
2022-12-25;44;9;0;1;1;False
2023-01-01;62;10;0;1;1;False
2023-01-08;72;7;0;1;1;False
2023-01-15;66;6;0;1;1;False
2023-01-22;33;7;0;1;1;False
2023-01-29;57;7;0;1;1;False
