date;US weather;Australia weather;Mountains;arkansas;air travel;isPartial
2022-01-02;13;25;98;12;27;False
2022-01-09;11;18;94;10;30;False
2022-01-16;10;13;90;10;23;False
2022-01-23;9;13;93;9;26;False
2022-01-30;14;12;90;9;29;False
2022-02-06;10;14;87;9;29;False
2022-02-13;18;17;80;9;29;False
2022-02-20;15;17;85;10;30;False
2022-02-27;11;21;84;10;26;False
2022-03-06;11;18;77;9;28;False
2022-03-13;10;14;90;9;27;False
2022-03-20;10;16;89;12;27;False
2022-03-27;13;15;77;12;28;False
2022-04-03;14;17;86;9;26;False
2022-04-10;13;14;77;9;23;False
2022-04-17;10;12;77;8;25;False
2022-04-24;9;12;75;9;26;False
2022-05-01;13;13;83;12;27;False
2022-05-08;14;13;78;16;27;False
2022-05-15;19;14;82;20;28;False
2022-05-22;15;11;75;12;27;False
2022-05-29;16;14;81;10;27;False
2022-06-05;15;14;81;12;31;False
2022-06-12;28;16;80;10;27;False
2022-06-19;23;15;77;12;25;False
2022-06-26;13;15;79;11;27;False
2022-07-03;13;17;89;14;28;False
2022-07-10;19;28;91;13;29;False
2022-07-17;25;32;77;10;28;False
2022-07-24;14;16;83;12;28;False
2022-07-31;13;13;82;10;25;False
2022-08-07;17;18;83;11;24;False
2022-08-14;17;14;77;12;24;False
2022-08-21;17;14;76;35;21;False
2022-08-28;28;12;82;21;23;False
2022-09-04;37;16;94;11;24;False
2022-09-11;13;13;100;13;21;False
2022-09-18;10;12;87;10;20;False
2022-09-25;16;14;80;10;21;False
2022-10-02;10;15;79;12;20;False
2022-10-09;9;20;77;11;19;False
2022-10-16;11;24;74;9;18;False
2022-10-23;12;30;68;11;16;False
2022-10-30;12;28;73;8;16;False
2022-11-06;17;31;77;12;18;False
2022-11-13;13;31;82;9;15;False
2022-11-20;10;22;75;8;19;False
2022-11-27;9;17;74;8;19;False
2022-12-04;13;20;72;8;16;False
2022-12-11;17;22;69;8;16;False
2022-12-18;62;19;72;8;15;False
2022-12-25;41;23;88;13;20;False
2023-01-01;14;24;95;14;23;False
2023-01-08;16;21;82;11;22;False
2023-01-15;22;21;89;10;21;False
2023-01-22;15;20;89;11;19;False
2023-01-29;15;18;91;11;21;False
