date;Amazon Prime Video;Society;Unison;Nadhim Zahawi;air travel;isPartial
2022-01-02;16;65;3;1;3;False
2022-01-09;15;71;3;2;4;False
2022-01-16;14;64;3;2;3;False
2022-01-23;14;66;3;1;3;False
2022-01-30;15;75;4;1;4;False
2022-02-06;14;66;3;1;4;False
2022-02-13;14;65;3;0;4;False
2022-02-20;14;63;3;0;4;False
2022-02-27;12;66;3;0;3;False
2022-03-06;12;66;3;1;3;False
2022-03-13;13;68;3;0;3;False
2022-03-20;12;67;3;0;3;False
2022-03-27;11;70;3;1;3;False
2022-04-03;12;70;3;0;3;False
2022-04-10;11;58;2;0;3;False
2022-04-17;11;58;2;1;3;False
2022-04-24;10;65;3;0;3;False
2022-05-01;12;68;3;0;3;False
2022-05-08;11;71;3;1;3;False
2022-05-15;11;65;3;0;3;False
2022-05-22;11;65;3;1;3;False
2022-05-29;13;56;2;0;3;False
2022-06-05;12;65;3;1;4;False
2022-06-12;13;61;4;0;3;False
2022-06-19;14;63;4;0;3;False
2022-06-26;12;59;3;0;3;False
2022-07-03;12;61;3;33;3;False
2022-07-10;12;59;3;10;4;False
2022-07-17;13;59;5;1;3;False
2022-07-24;12;63;4;0;3;False
2022-07-31;12;75;4;0;3;False
2022-08-07;13;63;4;1;3;False
2022-08-14;12;58;3;0;3;False
2022-08-21;12;66;4;1;3;False
2022-08-28;15;65;5;1;3;False
2022-09-04;13;67;5;3;3;False
2022-09-11;13;69;4;0;3;False
2022-09-18;14;75;4;0;3;False
2022-09-25;13;100;5;0;3;False
2022-10-02;12;83;5;2;2;False
2022-10-09;12;85;4;2;2;False
2022-10-16;17;83;4;0;2;False
2022-10-23;12;71;5;2;2;False
2022-10-30;13;83;5;0;2;False
2022-11-06;13;84;6;0;2;False
2022-11-13;13;88;5;0;2;False
2022-11-20;11;72;4;0;2;False
2022-11-27;10;77;6;0;2;False
2022-12-04;10;70;4;3;2;False
2022-12-11;13;64;4;0;2;False
2022-12-18;13;64;4;0;2;False
2022-12-25;18;50;1;0;2;False
2023-01-01;12;73;3;0;3;False
2023-01-08;11;68;4;0;3;False
2023-01-15;11;76;5;6;3;False
2023-01-22;11;81;5;12;2;False
2023-01-29;11;83;5;12;3;False
