date;switzerland;Alan Sugar;Trainspotting;Tracey Emin;air travel;isPartial
2022-01-02;24;6;2;1;4;False
2022-01-09;22;4;3;1;4;False
2022-01-16;21;4;2;2;3;False
2022-01-23;21;4;2;1;3;False
2022-01-30;21;6;2;1;4;False
2022-02-06;23;3;2;1;4;False
2022-02-13;23;2;2;1;4;False
2022-02-20;23;3;2;0;4;False
2022-02-27;28;2;2;1;4;False
2022-03-06;20;3;2;1;4;False
2022-03-13;21;4;2;0;4;False
2022-03-20;99;6;2;0;4;False
2022-03-27;29;2;2;0;4;False
2022-04-03;17;4;2;1;4;False
2022-04-10;16;1;2;1;3;False
2022-04-17;18;1;2;1;3;False
2022-04-24;16;1;2;1;3;False
2022-05-01;19;1;2;1;4;False
2022-05-08;20;1;2;1;4;False
2022-05-15;19;1;2;0;4;False
2022-05-22;18;1;2;1;4;False
2022-05-29;18;0;2;1;4;False
2022-06-05;25;0;2;1;4;False
2022-06-12;22;1;2;1;4;False
2022-06-19;18;0;2;0;3;False
2022-06-26;21;0;2;0;4;False
2022-07-03;22;0;2;0;4;False
2022-07-10;21;2;2;0;4;False
2022-07-17;21;1;2;0;4;False
2022-07-24;19;1;2;1;4;False
2022-07-31;18;1;2;1;3;False
2022-08-07;19;1;2;1;3;False
2022-08-14;18;1;2;0;3;False
2022-08-21;18;0;2;0;3;False
2022-08-28;18;1;2;0;3;False
2022-09-04;19;1;2;0;3;False
2022-09-11;18;1;2;1;3;False
2022-09-18;19;1;2;0;3;False
2022-09-25;18;1;2;1;3;False
2022-10-02;17;1;2;1;3;False
2022-10-09;18;0;2;1;3;False
2022-10-16;16;0;3;1;2;False
2022-10-23;16;0;3;1;2;False
2022-10-30;16;0;2;1;2;False
2022-11-06;18;1;2;1;2;False
2022-11-13;21;1;2;1;2;False
2022-11-20;47;0;2;0;3;False
2022-11-27;79;0;2;0;3;False
2022-12-04;100;0;2;1;2;False
2022-12-11;17;1;2;0;2;False
2022-12-18;18;1;2;0;2;False
2022-12-25;20;1;2;0;3;False
2023-01-01;22;4;2;1;3;False
2023-01-08;19;3;2;1;3;False
2023-01-15;19;3;3;0;3;False
2023-01-22;19;3;2;0;3;False
2023-01-29;19;3;2;0;3;False
