date;Dr Martens;Weightlifting;Van Morrison;Sport politics;air travel;isPartial
2022-01-02;56;10;3;0;12;False
2022-01-09;51;9;4;0;14;False
2022-01-16;51;8;5;0;10;False
2022-01-23;45;10;8;0;11;False
2022-01-30;43;11;6;0;13;False
2022-02-06;37;9;6;0;13;False
2022-02-13;35;9;6;0;13;False
2022-02-20;36;10;5;0;13;False
2022-02-27;34;8;4;0;12;False
2022-03-06;35;8;4;0;12;False
2022-03-13;35;9;6;0;12;False
2022-03-20;33;8;7;0;12;False
2022-03-27;33;8;6;0;13;False
2022-04-03;33;9;6;0;12;False
2022-04-10;34;9;4;0;10;False
2022-04-17;31;8;4;0;11;False
2022-04-24;32;8;4;0;11;False
2022-05-01;34;9;4;1;12;False
2022-05-08;32;8;4;0;12;False
2022-05-15;32;7;5;0;13;False
2022-05-22;32;7;5;0;12;False
2022-05-29;33;9;5;0;12;False
2022-06-05;35;8;4;0;14;False
2022-06-12;31;7;4;0;12;False
2022-06-19;33;8;5;0;11;False
2022-06-26;32;7;5;0;12;False
2022-07-03;33;7;7;0;12;False
2022-07-10;32;6;4;0;13;False
2022-07-17;31;7;4;0;12;False
2022-07-24;37;13;5;0;12;False
2022-07-31;36;29;5;0;11;False
2022-08-07;33;9;4;0;11;False
2022-08-14;36;7;5;0;10;False
2022-08-21;43;7;9;0;9;False
2022-08-28;44;6;5;0;10;False
2022-09-04;45;7;5;0;11;False
2022-09-11;45;7;4;0;9;False
2022-09-18;48;6;3;0;9;False
2022-09-25;52;6;4;0;9;False
2022-10-02;51;6;3;0;9;False
2022-10-09;49;7;4;0;9;False
2022-10-16;49;7;3;0;8;False
2022-10-23;52;7;3;0;7;False
2022-10-30;49;7;3;0;7;False
2022-11-06;53;7;3;0;8;False
2022-11-13;56;8;3;0;7;False
2022-11-20;85;7;3;0;8;False
2022-11-27;64;8;3;0;8;False
2022-12-04;60;8;9;0;7;False
2022-12-11;70;7;3;0;7;False
2022-12-18;59;7;3;0;7;False
2022-12-25;100;8;4;0;9;False
2023-01-01;54;9;5;0;10;False
2023-01-08;46;7;4;0;10;False
2023-01-15;49;7;5;0;9;False
2023-01-22;43;8;4;0;9;False
2023-01-29;41;7;4;0;9;False
