date;Final Fantasy;Malaria;Mozambique;Eminem;air travel;isPartial
2022-01-02;19;8;3;30;10;False
2022-01-09;16;8;3;29;10;False
2022-01-16;16;7;4;30;8;False
2022-01-23;17;7;4;32;9;False
2022-01-30;17;7;3;30;10;False
2022-02-06;13;8;5;29;10;False
2022-02-13;15;7;3;100;10;False
2022-02-20;13;7;4;39;10;False
2022-02-27;12;9;4;28;9;False
2022-03-06;14;8;3;27;10;False
2022-03-13;17;9;4;27;10;False
2022-03-20;17;9;4;26;9;False
2022-03-27;16;8;4;26;10;False
2022-04-03;13;7;4;26;9;False
2022-04-10;15;7;3;28;8;False
2022-04-17;14;7;3;28;9;False
2022-04-24;14;10;5;23;9;False
2022-05-01;16;9;3;26;9;False
2022-05-08;15;10;4;25;10;False
2022-05-15;15;11;4;24;10;False
2022-05-22;14;8;3;29;9;False
2022-05-29;17;6;4;27;10;False
2022-06-05;15;8;4;28;11;False
2022-06-12;23;8;4;35;9;False
2022-06-19;18;8;4;34;9;False
2022-06-26;15;8;3;32;9;False
2022-07-03;15;7;3;31;10;False
2022-07-10;13;8;4;36;10;False
2022-07-17;15;7;4;31;10;False
2022-07-24;16;7;4;32;10;False
2022-07-31;15;6;4;39;9;False
2022-08-07;15;7;4;42;8;False
2022-08-14;13;6;3;43;8;False
2022-08-21;14;7;3;34;7;False
2022-08-28;13;6;3;34;8;False
2022-09-04;12;10;3;30;9;False
2022-09-11;14;9;3;27;7;False
2022-09-18;14;9;3;26;7;False
2022-09-25;12;9;3;30;7;False
2022-10-02;12;8;3;28;7;False
2022-10-09;10;9;3;30;7;False
2022-10-16;12;9;3;39;6;False
2022-10-23;11;8;4;30;6;False
2022-10-30;11;8;3;28;6;False
2022-11-06;11;9;4;36;6;False
2022-11-13;11;9;7;30;5;False
2022-11-20;10;8;4;27;7;False
2022-11-27;11;8;3;30;7;False
2022-12-04;13;8;4;26;6;False
2022-12-11;17;7;5;29;6;False
2022-12-18;22;5;4;32;5;False
2022-12-25;20;5;3;34;7;False
2023-01-01;17;8;3;29;8;False
2023-01-08;13;9;4;30;8;False
2023-01-15;14;9;5;30;7;False
2023-01-22;14;9;4;30;7;False
2023-01-29;14;9;3;29;7;False
