date;Stock markets;Meteorology;Women's FA Cup;Cyril Ramaphosa;air travel;isPartial
2023-01-01;13;0;0;0;76;False
2023-01-02;0;0;0;0;90;False
2023-01-03;26;9;0;0;59;False
2023-01-04;25;6;0;0;89;False
2023-01-05;5;8;14;0;73;False
2023-01-06;18;0;0;0;73;False
2023-01-07;11;0;5;0;53;False
2023-01-08;24;0;26;0;84;False
2023-01-09;37;5;13;15;50;False
2023-01-10;29;10;12;0;79;False
2023-01-11;9;0;0;0;90;False
2023-01-12;20;6;11;0;75;False
2023-01-13;13;0;7;0;60;False
2023-01-14;0;0;0;0;56;False
2023-01-15;8;0;9;0;66;False
2023-01-16;45;0;7;0;68;False
2023-01-17;14;0;0;8;56;False
2023-01-18;11;12;7;5;80;False
2023-01-19;11;0;0;0;73;False
2023-01-20;19;0;0;0;59;False
2023-01-21;11;0;0;17;63;False
2023-01-22;0;8;6;0;70;False
2023-01-23;19;0;5;0;72;False
2023-01-24;25;18;0;0;55;False
2023-01-25;19;5;16;0;75;False
2023-01-26;14;12;17;0;68;False
2023-01-27;9;0;11;0;47;False
2023-01-28;13;0;24;9;66;False
2023-01-29;9;0;90;0;60;False
2023-01-30;20;0;32;5;100;False
2023-01-31;18;5;21;0;84;False
