date;San Francisco 49ers;kevin spacey;Scottish National party (SNP);Six Nations;air travel;isPartial
2023-01-01;1;4;2;18;7;False
2023-01-02;1;2;0;19;8;False
2023-01-03;1;3;0;24;5;False
2023-01-04;0;4;0;24;8;False
2023-01-05;1;2;2;24;6;False
2023-01-06;1;3;0;29;6;False
2023-01-07;1;3;0;28;5;False
2023-01-08;2;1;0;30;7;False
2023-01-09;2;2;0;35;4;False
2023-01-10;1;1;0;28;7;False
2023-01-11;1;2;0;39;8;False
2023-01-12;0;3;0;31;7;False
2023-01-13;1;7;1;31;5;False
2023-01-14;6;7;0;40;5;False
2023-01-15;5;3;0;37;6;False
2023-01-16;2;3;0;48;6;False
2023-01-17;1;7;0;48;5;False
2023-01-18;0;5;0;39;7;False
2023-01-19;0;3;0;44;6;False
2023-01-20;1;2;0;48;5;False
2023-01-21;1;4;0;57;6;False
2023-01-22;3;2;0;47;6;False
2023-01-23;6;2;0;50;6;False
2023-01-24;2;2;0;57;5;False
2023-01-25;2;2;0;48;7;False
2023-01-26;0;3;0;55;6;False
2023-01-27;1;2;0;58;4;False
2023-01-28;1;4;0;87;6;False
2023-01-29;8;3;0;86;5;False
2023-01-30;3;2;1;94;9;False
2023-01-31;1;2;0;100;7;False
