date;Grenfell Tower inquiry;Oil and gas companies;S4C;Chapter 11 - corporate bankruptcies;air travel;isPartial
2022-01-02;2;2;30;0;67;False
2022-01-09;0;3;42;0;73;False
2022-01-16;0;4;27;0;57;False
2022-01-23;0;4;30;0;63;False
2022-01-30;3;4;33;0;71;False
2022-02-06;1;4;27;0;71;False
2022-02-13;2;3;22;0;72;False
2022-02-20;1;4;26;0;73;False
2022-02-27;3;3;31;0;64;False
2022-03-06;2;2;25;0;67;False
2022-03-13;3;5;22;0;67;False
2022-03-20;1;4;58;0;65;False
2022-03-27;2;4;31;0;69;False
2022-04-03;3;3;26;0;63;False
2022-04-10;2;3;18;0;55;False
2022-04-17;1;2;24;0;61;False
2022-04-24;2;2;34;0;63;False
2022-05-01;1;2;21;0;65;False
2022-05-08;0;4;20;0;67;False
2022-05-15;0;3;33;0;69;False
2022-05-22;1;4;26;0;66;False
2022-05-29;2;2;67;0;67;False
2022-06-05;2;2;100;0;75;False
2022-06-12;5;1;27;0;65;False
2022-06-19;0;4;17;0;61;False
2022-06-26;1;2;31;0;65;False
2022-07-03;1;3;23;0;69;False
2022-07-10;1;5;22;0;71;False
2022-07-17;2;2;27;0;68;False
2022-07-24;1;3;17;0;67;False
2022-07-31;1;2;27;0;60;False
2022-08-07;0;3;13;0;59;False
2022-08-14;1;3;14;0;57;False
2022-08-21;1;3;16;0;50;False
2022-08-28;0;1;15;0;55;False
2022-09-04;0;5;27;0;59;False
2022-09-11;0;3;25;0;52;False
2022-09-18;0;3;82;0;49;False
2022-09-25;0;4;54;0;51;False
2022-10-02;1;3;29;0;49;False
2022-10-09;0;3;24;0;47;False
2022-10-16;0;3;23;0;43;False
2022-10-23;1;3;23;0;40;False
2022-10-30;0;3;33;0;39;False
2022-11-06;2;1;28;0;44;False
2022-11-13;0;3;23;0;37;False
2022-11-20;1;2;46;0;47;False
2022-11-27;0;3;30;0;45;False
2022-12-04;0;0;20;0;39;False
2022-12-11;0;1;26;0;40;False
2022-12-18;0;2;21;0;37;False
2022-12-25;0;2;29;0;49;False
2023-01-01;2;3;90;0;57;False
2023-01-08;1;5;28;0;53;False
2023-01-15;1;2;30;0;51;False
2023-01-22;1;2;25;0;47;False
2023-01-29;2;4;27;0;51;False
