date;hertfordshire;Wrexham;Installation;Pope Benedict XVI;air travel;isPartial
2023-01-01;3;9;4;3;1;False
2023-01-02;3;13;5;3;1;False
2023-01-03;3;8;5;2;0;False
2023-01-04;4;7;6;2;1;False
2023-01-05;4;7;6;3;1;False
2023-01-06;4;7;5;1;1;False
2023-01-07;3;26;5;0;0;False
2023-01-08;3;15;5;0;1;False
2023-01-09;4;9;6;0;0;False
2023-01-10;3;14;6;0;1;False
2023-01-11;4;9;5;0;1;False
2023-01-12;3;8;5;0;1;False
2023-01-13;3;13;5;0;0;False
2023-01-14;3;9;4;0;0;False
2023-01-15;3;7;4;0;1;False
2023-01-16;4;8;6;0;1;False
2023-01-17;3;9;6;0;0;False
2023-01-18;4;8;5;0;1;False
2023-01-19;3;8;6;0;1;False
2023-01-20;4;7;6;0;0;False
2023-01-21;3;14;5;0;1;False
2023-01-22;3;8;5;0;1;False
2023-01-23;4;7;6;0;1;False
2023-01-24;3;13;6;0;0;False
2023-01-25;3;9;5;0;1;False
2023-01-26;4;7;5;0;1;False
2023-01-27;3;9;5;0;0;False
2023-01-28;3;12;5;0;1;False
2023-01-29;3;100;5;0;0;False
2023-01-30;3;25;6;0;1;False
2023-01-31;4;15;5;0;1;False
