date;Swimming holidays;Lee Westwood;switzerland;Joan Littlewood;air travel;isPartial
2023-01-01;3;2;95;0;12;False
2023-01-02;5;1;98;0;14;False
2023-01-03;0;0;98;4;9;False
2023-01-04;2;0;88;0;14;False
2023-01-05;4;1;89;0;11;False
2023-01-06;0;1;88;2;11;False
2023-01-07;2;0;76;0;8;False
2023-01-08;3;0;100;0;13;False
2023-01-09;1;0;82;1;8;False
2023-01-10;2;0;85;0;12;False
2023-01-11;3;0;89;0;14;False
2023-01-12;1;1;75;0;12;False
2023-01-13;1;1;76;0;9;False
2023-01-14;1;0;79;0;9;False
2023-01-15;6;0;84;0;10;False
2023-01-16;2;0;86;0;11;False
2023-01-17;1;1;81;0;9;False
2023-01-18;0;2;72;0;12;False
2023-01-19;3;0;74;2;11;False
2023-01-20;3;0;77;0;9;False
2023-01-21;2;3;75;2;10;False
2023-01-22;2;0;85;1;11;False
2023-01-23;3;1;81;0;11;False
2023-01-24;1;0;83;0;9;False
2023-01-25;1;0;86;0;12;False
2023-01-26;4;0;73;0;11;False
2023-01-27;2;1;78;0;7;False
2023-01-28;2;0;72;0;10;False
2023-01-29;2;0;83;0;9;False
2023-01-30;0;2;86;0;16;False
2023-01-31;6;0;80;0;13;False
