date;Transport;brad pitt;Asia Pacific;Milan fashion week;air travel;isPartial
2022-01-02;63;11;1;0;7;False
2022-01-09;75;11;1;0;8;False
2022-01-16;75;10;1;0;6;False
2022-01-23;81;11;1;0;6;False
2022-01-30;80;10;1;0;7;False
2022-02-06;75;9;1;0;7;False
2022-02-13;88;10;1;0;7;False
2022-02-20;77;9;1;1;7;False
2022-02-27;88;9;1;1;7;False
2022-03-06;83;10;1;0;7;False
2022-03-13;78;9;1;0;7;False
2022-03-20;79;9;1;0;7;False
2022-03-27;79;10;1;0;7;False
2022-04-03;80;11;1;0;7;False
2022-04-10;74;13;1;0;6;False
2022-04-17;70;13;1;0;6;False
2022-04-24;80;10;1;0;6;False
2022-05-01;83;10;1;0;7;False
2022-05-08;94;9;1;0;7;False
2022-05-15;87;11;1;0;7;False
2022-05-22;83;15;1;0;7;False
2022-05-29;76;16;1;0;7;False
2022-06-05;95;15;1;0;8;False
2022-06-12;90;11;1;0;7;False
2022-06-19;100;15;1;0;6;False
2022-06-26;81;10;1;0;7;False
2022-07-03;83;10;1;0;7;False
2022-07-10;80;13;1;0;7;False
2022-07-17;78;20;1;0;7;False
2022-07-24;84;15;1;0;7;False
2022-07-31;80;18;1;0;6;False
2022-08-07;79;18;1;0;6;False
2022-08-14;83;17;1;0;6;False
2022-08-21;94;13;1;0;5;False
2022-08-28;74;12;1;0;6;False
2022-09-04;92;14;1;0;6;False
2022-09-11;89;16;1;1;5;False
2022-09-18;81;15;1;1;5;False
2022-09-25;86;13;1;1;5;False
2022-10-02;82;17;1;1;5;False
2022-10-09;79;12;1;0;5;False
2022-10-16;80;12;1;0;4;False
2022-10-23;82;15;1;0;4;False
2022-10-30;78;11;1;0;4;False
2022-11-06;88;13;1;0;5;False
2022-11-13;78;10;1;0;4;False
2022-11-20;74;8;1;0;5;False
2022-11-27;81;8;1;0;5;False
2022-12-04;74;8;1;0;4;False
2022-12-11;74;9;1;0;4;False
2022-12-18;71;13;0;0;4;False
2022-12-25;69;14;1;0;5;False
2023-01-01;73;11;1;0;6;False
2023-01-08;79;15;1;1;5;False
2023-01-15;77;14;1;1;5;False
2023-01-22;74;13;1;1;5;False
2023-01-29;80;11;1;1;5;False
