date;Alice Springs;Vintage fashion;Northern Territory;Podcasting;air travel;isPartial
2022-01-02;10;6;9;2;90;False
2022-01-09;12;11;5;1;98;False
2022-01-16;7;7;5;5;77;False
2022-01-23;8;10;4;0;84;False
2022-01-30;8;10;5;6;95;False
2022-02-06;5;7;4;3;96;False
2022-02-13;7;8;2;4;96;False
2022-02-20;7;8;5;6;98;False
2022-02-27;8;8;0;2;86;False
2022-03-06;6;7;2;2;90;False
2022-03-13;6;10;4;3;90;False
2022-03-20;6;8;5;3;88;False
2022-03-27;9;13;3;3;93;False
2022-04-03;7;7;3;4;85;False
2022-04-10;6;8;3;4;74;False
2022-04-17;6;9;6;3;82;False
2022-04-24;7;9;4;3;84;False
2022-05-01;7;8;3;3;87;False
2022-05-08;6;9;4;3;89;False
2022-05-15;5;8;3;3;93;False
2022-05-22;4;10;4;3;88;False
2022-05-29;6;10;8;5;90;False
2022-06-05;4;7;2;3;100;False
2022-06-12;6;8;3;4;87;False
2022-06-19;3;7;4;4;81;False
2022-06-26;5;8;5;6;87;False
2022-07-03;3;8;4;2;92;False
2022-07-10;12;5;0;3;95;False
2022-07-17;15;7;4;4;91;False
2022-07-24;7;6;4;3;90;False
2022-07-31;5;7;3;3;81;False
2022-08-07;8;6;3;6;78;False
2022-08-14;4;8;3;3;77;False
2022-08-21;7;8;3;6;67;False
2022-08-28;5;7;3;5;74;False
2022-09-04;6;11;1;4;80;False
2022-09-11;6;7;22;4;69;False
2022-09-18;4;11;3;3;66;False
2022-09-25;5;10;3;5;68;False
2022-10-02;5;9;4;5;65;False
2022-10-09;6;8;4;4;63;False
2022-10-16;7;8;12;6;57;False
2022-10-23;9;7;7;2;53;False
2022-10-30;4;9;5;1;53;False
2022-11-06;7;11;3;5;59;False
2022-11-13;10;6;1;6;50;False
2022-11-20;7;8;3;5;62;False
2022-11-27;7;5;2;3;61;False
2022-12-04;4;8;5;3;52;False
2022-12-11;4;6;4;5;53;False
2022-12-18;9;5;2;3;50;False
2022-12-25;7;5;3;3;66;False
2023-01-01;9;7;5;4;77;False
2023-01-08;7;7;6;6;71;False
2023-01-15;7;0;5;6;69;False
2023-01-22;16;7;4;5;64;False
2023-01-29;8;9;0;5;69;False
