date;Sharleen Spiteri;Sexual harassment;Concussion in sport;Friendlies;air travel;isPartial
2022-01-02;2;5;0;5;25;False
2022-01-09;2;5;0;4;28;False
2022-01-16;9;7;0;4;22;False
2022-01-23;3;6;0;5;24;False
2022-01-30;2;6;0;3;27;False
2022-02-06;1;7;0;2;27;False
2022-02-13;2;6;0;4;27;False
2022-02-20;3;6;0;2;28;False
2022-02-27;5;6;0;3;24;False
2022-03-06;4;7;0;2;26;False
2022-03-13;1;6;1;5;25;False
2022-03-20;1;7;0;27;25;False
2022-03-27;2;6;0;19;26;False
2022-04-03;1;5;0;3;24;False
2022-04-10;1;6;0;3;21;False
2022-04-17;1;5;0;3;23;False
2022-04-24;1;6;0;4;24;False
2022-05-01;19;6;0;5;25;False
2022-05-08;2;11;0;5;25;False
2022-05-15;2;11;0;6;26;False
2022-05-22;7;8;0;9;25;False
2022-05-29;2;5;0;17;25;False
2022-06-05;1;6;0;16;28;False
2022-06-12;2;5;0;19;25;False
2022-06-19;2;5;0;22;23;False
2022-06-26;1;6;0;30;25;False
2022-07-03;4;5;0;61;26;False
2022-07-10;1;6;0;100;27;False
2022-07-17;1;4;0;95;26;False
2022-07-24;1;4;0;70;25;False
2022-07-31;1;4;0;27;23;False
2022-08-07;3;4;0;4;22;False
2022-08-14;2;4;0;4;22;False
2022-08-21;1;5;0;9;19;False
2022-08-28;1;5;0;4;21;False
2022-09-04;0;5;0;3;23;False
2022-09-11;1;5;0;3;20;False
2022-09-18;1;3;0;11;19;False
2022-09-25;1;3;0;9;19;False
2022-10-02;1;5;0;7;18;False
2022-10-09;1;6;0;5;18;False
2022-10-16;0;6;0;3;16;False
2022-10-23;1;4;0;2;15;False
2022-10-30;1;6;1;5;15;False
2022-11-06;2;5;0;8;17;False
2022-11-13;1;5;0;35;14;False
2022-11-20;1;5;0;11;18;False
2022-11-27;0;6;0;9;17;False
2022-12-04;1;5;0;18;15;False
2022-12-11;1;14;0;22;15;False
2022-12-18;2;6;0;11;14;False
2022-12-25;1;3;0;6;19;False
2023-01-01;17;4;0;4;22;False
2023-01-08;1;5;0;5;20;False
2023-01-15;1;6;0;9;20;False
2023-01-22;1;5;0;3;18;False
2023-01-29;1;5;0;4;19;False
