date;las vegas;Samsung;peloton;BBC National Orchestra of Wales;air travel;isPartial
2022-01-02;7;0;5;0;1;False
2022-01-09;6;0;4;0;1;False
2022-01-16;7;0;4;0;1;False
2022-01-23;6;0;4;0;1;False
2022-01-30;5;0;3;0;1;False
2022-02-06;5;0;4;0;1;False
2022-02-13;5;0;2;0;1;False
2022-02-20;5;0;2;0;1;False
2022-02-27;5;0;2;0;1;False
2022-03-06;5;0;2;0;1;False
2022-03-13;5;0;2;0;1;False
2022-03-20;6;0;2;0;1;False
2022-03-27;9;0;1;0;1;False
2022-04-03;8;0;2;0;1;False
2022-04-10;7;0;2;0;1;False
2022-04-17;6;0;2;0;1;False
2022-04-24;6;0;2;0;1;False
2022-05-01;8;0;2;0;1;False
2022-05-08;6;0;2;0;1;False
2022-05-15;6;0;2;0;1;False
2022-05-22;6;0;2;0;1;False
2022-05-29;6;0;1;0;1;False
2022-06-05;6;0;2;0;1;False
2022-06-12;6;0;2;0;1;False
2022-06-19;6;0;1;0;1;False
2022-06-26;6;0;1;0;1;False
2022-07-03;5;0;1;0;1;False
2022-07-10;6;0;2;0;1;False
2022-07-17;6;0;2;0;1;False
2022-07-24;7;0;1;0;1;False
2022-07-31;6;0;1;0;1;False
2022-08-07;7;0;2;0;1;False
2022-08-14;6;0;2;0;1;False
2022-08-21;6;0;2;0;1;False
2022-08-28;6;0;1;0;1;False
2022-09-04;6;0;1;0;1;False
2022-09-11;6;0;2;0;1;False
2022-09-18;6;0;2;0;1;False
2022-09-25;6;0;2;0;1;False
2022-10-02;6;0;2;0;1;False
2022-10-09;5;0;2;0;1;False
2022-10-16;5;0;1;0;1;False
2022-10-23;6;0;2;0;1;False
2022-10-30;5;0;2;0;1;False
2022-11-06;6;0;2;0;1;False
2022-11-13;5;0;2;0;1;False
2022-11-20;5;0;2;0;1;False
2022-11-27;4;0;2;0;1;False
2022-12-04;4;74;1;0;1;False
2022-12-11;4;72;2;0;1;False
2022-12-18;5;77;1;0;1;False
2022-12-25;6;100;2;0;1;False
2023-01-01;7;86;3;0;1;False
2023-01-08;7;71;2;0;1;False
2023-01-15;6;74;2;0;1;False
2023-01-22;6;73;2;0;1;False
2023-01-29;6;84;2;0;1;False
